Month,House,Gecode,Limit,OGSA,Preferred
1,1,2000,10000,2000,2000
2,1,2000,10000,2000,2000
3,1,2000,10000,2000,2000
4,1,2000,10000,2000,2000
5,1,2000,10000,2000,2000
6,1,2300,10000,2300,2000
7,1,2300,10000,2000,2000
8,1,2000,10000,2000,2000
9,1,2000,10000,2000,2000
10,1,2300,10000,2300,2000
11,1,2300,10000,2300,2000
12,1,2000,10000,2300,2000
1,2,6000,30000,6000,6000
2,2,6000,30000,6000,6000
3,2,6000,30000,6000,6000
4,2,6000,30000,6000,6000
5,2,6000,30000,6000,6000
6,2,6000,30000,6000,6000
7,2,6000,30000,6000,6000
8,2,6000,30000,6000,6000
9,2,6000,30000,6000,6000
10,2,6000,30000,6000,6000
11,2,6000,30000,6000,6000
12,2,6000,30000,6000,6000
1,3,2400,12000,2600,2400
2,3,2400,12000,2600,2400
3,3,2400,12000,2450,2400
4,3,2400,12000,2550,2400
5,3,2600,12000,2600,2400
6,3,2400,12000,2600,2400
7,3,2550,12000,2400,2400
8,3,2400,12000,2600,2400
9,3,2400,12000,2600,2400
10,3,2400,12000,2600,2400
11,3,2400,12000,2400,2400
12,3,2400,12000,2400,2400
1,4,3100,12000,3100,2400
2,4,3100,12000,3100,2400
3,4,2400,12000,2400,2400
4,4,3100,12000,3100,2400
5,4,2400,12000,3100,2400
6,4,2400,12000,3100,2400
7,4,2400,12000,3100,2400
8,4,2400,12000,2400,2400
9,4,2400,12000,2400,2400
10,4,3100,12000,3100,2400
11,4,3100,12000,3100,2400
12,4,3100,12000,3100,2400
1,5,1800,6000,1800,1800
2,5,1800,6000,1800,1800
3,5,1800,6000,1800,1800
4,5,1800,6000,1800,1800
5,5,1200,6000,1200,1800
6,5,1200,6000,1200,1800
7,5,1200,6000,1200,1800
8,5,1200,6000,1200,1800
9,5,1200,6000,1200,1800
10,5,1200,6000,1200,1800
11,5,1800,6000,1800,1800
12,5,1800,6000,1800,1800
1,6,1200,6000,1200,1200
2,6,1200,6000,1200,1200
3,6,1200,6000,1200,1200
4,6,1200,6000,1200,1200
5,6,1200,6000,1200,1200
6,6,1200,6000,1200,1200
7,6,1200,6000,1200,1200
8,6,1200,6000,1200,1200
9,6,1200,6000,1200,1200
10,6,1200,6000,1200,1200
11,6,1200,6000,1200,1200
12,6,1200,6000,1200,1200
1,7,2000,10000,2000,3100
2,7,2000,10000,2000,3100
3,7,2000,10000,2000,3100
4,7,2000,10000,2000,3100
5,7,2000,10000,2000,3100
6,7,2000,10000,2000,3100
7,7,2000,10000,2000,3100
8,7,2000,10000,2000,3100
9,7,2000,10000,2000,3100
10,7,3100,10000,2000,3100
11,7,2000,10000,2000,3100
12,7,2000,10000,2000,3100
1,8,1100,5500,1100,1100
2,8,1100,5500,1100,1100
3,8,1100,5500,1100,1100
4,8,1100,5500,1100,1100
5,8,1100,5500,1100,1100
6,8,1100,5500,1100,1100
7,8,1100,5500,1100,1100
8,8,1100,5500,2200,1100
9,8,2200,5500,2200,1100
10,8,2200,5500,2200,1100
11,8,1100,5500,1100,1100
12,8,1100,5500,1100,1100
1,9,2568,12000,2568,2468
2,9,2568,12000,2568,2468
3,9,2568,12000,2568,2468
4,9,2568,12000,2568,2468
5,9,2568,12000,2568,2468
6,9,2568,12000,2568,2468
7,9,2568,12000,2500,2468
8,9,2568,12000,2568,2468
9,9,2568,12000,2568,2468
10,9,2568,12000,2568,2468
11,9,2568,12000,2400,2468
12,9,2568,12000,2568,2468
1,10,1200,6000,1200,2100
2,10,1200,6000,1200,2100
3,10,1200,6000,2100,2100
4,10,1200,6000,1330,2100
5,10,1200,6000,1330,2100
6,10,1330,6000,1330,2100
7,10,2230,6000,2230,2100
8,10,2230,6000,2230,2100
9,10,1330,6000,1330,2100
10,10,1238,6000,1330,2100
11,10,1200,6000,1330,2100
12,10,1200,6000,1330,2100
1,11,3530,17500,3530,3500
2,11,3500,17500,3500,3500
3,11,3530,17500,3530,3500
4,11,3530,17500,3530,3500
5,11,3530,17500,3530,3500
6,11,3530,17500,3530,3500
7,11,3530,17500,3530,3500
8,11,3530,17500,3530,3500
9,11,3530,17500,3530,3500
10,11,3530,17500,3530,3500
11,11,3530,17500,3530,3500
12,11,3530,17500,3530,3500
1,12,300,1500,300,300
2,12,300,1500,300,300
3,12,300,1500,300,300
4,12,300,1500,300,300
5,12,300,1500,300,300
6,12,300,1500,300,300
7,12,300,1500,300,300
8,12,300,1500,300,300
9,12,300,1500,300,300
10,12,300,1500,300,300
11,12,300,1500,300,300
12,12,300,1500,300,300
1,13,6000,30000,6000,6000
2,13,6000,30000,6000,6000
3,13,6000,30000,6000,6000
4,13,6000,30000,6000,6000
5,13,6000,30000,6000,6000
6,13,6000,30000,6000,6000
7,13,6000,30000,6000,6000
8,13,6000,30000,6000,6000
9,13,6000,30000,6000,6000
10,13,6000,30000,6000,6000
11,13,6000,30000,6000,6000
12,13,6000,30000,6000,6000
1,14,600,3000,600,600
2,14,600,3000,600,600
3,14,600,3000,600,600
4,14,700,3000,700,600
5,14,700,3000,700,600
6,14,700,3000,700,600
7,14,600,3000,600,600
