Month,House,Gecode,Limit,OGSA,Preferred
1,1,1700,8500,1700,1700
2,1,1700,8500,1700,1700
3,1,1700,8500,1700,1700
4,1,1700,8500,1700,1700
5,1,1700,8500,1700,1700
6,1,1700,8500,1700,1700
7,1,1700,8500,1700,1700
8,1,1700,8500,1700,1700
9,1,1700,8500,1700,1700
10,1,1700,8500,1700,1700
11,1,1700,8500,1700,1700
12,1,1700,8500,1700,1700
1,2,2400,11000,2400,2400
2,2,3400,11000,3400,2400
3,2,3400,11000,3400,2400
4,2,2400,11000,2400,2400
5,2,4600,11000,4600,2400
6,2,4600,11000,4600,2400
7,2,4600,11000,4600,2400
8,2,4600,11000,4600,2400
9,2,2400,11000,2400,2400
10,2,4600,11000,4600,2400
11,2,3400,11000,3400,2400
12,2,3400,11000,3400,2400
1,3,2100,10500,2100,2100
2,3,2100,10500,2100,2100
3,3,2100,10500,2100,2100
4,3,2100,10500,2100,2100
5,3,2100,10500,2100,2100
6,3,2100,10500,2100,2100
7,3,2100,10500,2100,2100
8,3,2100,10500,2100,2100
9,3,2100,10500,2100,2100
10,3,2100,10500,2100,2100
11,3,2100,10500,2100,2100
12,3,2100,10500,2100,2100
1,4,5000,25000,5000,5000
2,4,5000,25000,5000,5000
3,4,5000,25000,5000,5000
4,4,5000,25000,5000,5000
5,4,5000,25000,5000,5000
6,4,5000,25000,5000,5000
7,4,5000,25000,5000,5000
8,4,5000,25000,5000,5000
9,4,5000,25000,5000,5000
10,4,5000,25000,5000,5000
11,4,5000,25000,5000,5000
12,4,5000,25000,5000,5000
1,5,6000,30000,6000,6000
2,5,6000,30000,6000,6000
3,5,6000,30000,6000,6000
4,5,6000,30000,6000,6000
5,5,6000,30000,6000,6000
6,5,6000,30000,6000,6000
7,5,6000,30000,6000,6000
8,5,6000,30000,6000,6000
9,5,6000,30000,6000,6000
10,5,6000,30000,6000,6000
11,5,6000,30000,6300,6000
12,5,6000,30000,6000,6000
1,6,2400,12000,2400,2400
2,6,2400,12000,2400,2400
3,6,2400,12000,2400,2400
4,6,2400,12000,2400,2400
5,6,2400,12000,2400,2400
6,6,2400,12000,2400,2400
7,6,2400,12000,2400,2400
8,6,2400,12000,2400,2400
9,6,2400,12000,2400,2400
10,6,2400,12000,2400,2400
11,6,2400,12000,2400,2400
12,6,2400,12000,2400,2400
1,7,2400,12000,2400,2400
2,7,2400,12000,2400,2400
3,7,2400,12000,2400,2400
4,7,2400,12000,2400,2400
5,7,2400,12000,2400,2400
6,7,2400,12000,2400,2400
7,7,2400,12000,2400,2400
8,7,3170,12000,3170,2400
9,7,2400,12000,2400,2400
10,7,2400,12000,2400,2400
11,7,2400,12000,2400,2400
12,7,2400,12000,2400,2400
1,8,5900,25000,5900,5005
2,8,5900,25000,5900,5005
3,8,5900,25000,5900,5005
4,8,5900,25000,5900,5005
5,8,5900,25000,5900,5005
6,8,5000,25000,5000,5005
7,8,5000,25000,5000,5005
8,8,5000,25000,5000,5005
9,8,5000,25000,5000,5005
10,8,5900,25000,5900,5005
11,8,5900,25000,5900,5005
12,8,5900,25000,5900,5005
1,9,1100,5500,1105,1100
2,9,1225,5500,1225,1100
3,9,1105,5500,1225,1100
4,9,1225,5500,1225,1100
5,9,1225,5500,1225,1100
6,9,1225,5500,1225,1100
7,9,1105,5500,1225,1100
8,9,1225,5500,1225,1100
9,9,1225,5500,1225,1100
10,9,1225,5500,1225,1100
11,9,1105,5500,1105,1100
12,9,1105,5500,1105,1100
1,10,2400,12000,2400,2400
2,10,2400,12000,2400,2400
3,10,2400,12000,2400,2400
4,10,2400,12000,2400,2400
5,10,2400,12000,2400,2400
6,10,2400,12000,2400,2400
7,10,2400,12000,2400,2400
8,10,2400,12000,2400,2400
9,10,2400,12000,2400,2400
10,10,2400,12000,2400,2400
11,10,2400,12000,2400,2400
12,10,2400,12000,2400,2400
1,11,2400,12000,2400,2400
