Month,House,OGSA,Optimised,Preferred
1,1,3025,2400,2400
2,1,3025,2400,2400
3,1,2850,2400,2400
4,1,3025,2400,2400
5,1,3025,2400,2400
6,1,3025,2400,2400
7,1,2855,2400,2400
8,1,3025,2400,2400
9,1,3025,2400,2400
10,1,3025,2400,2400
11,1,2970,2400,2400
12,1,2970,2400,2400
1,2,1015,1090,1000
2,2,1160,1090,1000
3,2,1105,1090,1000
4,2,1145,1090,1000
5,2,1145,1090,1000
6,2,1105,1090,1000
7,2,1015,1090,1000
8,2,1160,1090,1000
9,2,1160,1090,1000
10,2,1160,1090,1000
11,2,1090,1090,1000
12,2,1145,1090,1000
1,3,1424,1008,1000
2,3,1432,1120,1000
3,3,1428,1008,1000
4,3,1432,1008,1000
5,3,1432,1120,1000
6,3,1432,1008,1000
7,3,1432,1120,1000
8,3,1432,1008,1000
9,3,1432,1008,1000
10,3,1428,1008,1000
11,3,1432,1120,1000
12,3,1432,1008,1000
1,4,962,1082,900
2,4,1482,1082,900
3,4,1482,1082,900
4,4,1482,1082,900
5,4,1482,1082,900
6,4,1482,900,900
7,4,1362,1082,900
8,4,1482,1082,900
9,4,1362,900,900
10,4,1482,900,900
11,4,1362,1082,900
12,4,1362,1082,900
1,5,2300,2470,2000
2,5,2470,2470,2000
3,5,2470,2470,2000
4,5,2470,2470,2000
5,5,2470,2470,2000
6,5,2470,2470,2000
7,5,2470,2470,2000
8,5,2470,2470,2000
9,5,2470,2470,2000
10,5,2470,2470,2000
11,5,2470,2470,2000
12,5,2470,2470,2000
1,6,3335,2365,2200
2,6,3480,2365,2200
3,6,3480,2380,2200
4,6,3480,2380,2200
5,6,3480,2380,2200
6,6,3480,2380,2200
7,6,3480,2365,2200
8,6,3480,2380,2200
9,6,3480,2380,2200
10,6,3480,2380,2200
11,6,3430,2365,2200
12,6,3480,2380,2200
1,7,1348,1314,1220
2,7,1524,1314,1220
3,7,1314,1314,1220
4,7,1524,1314,1220
5,7,1524,1314,1220
6,7,1524,1314,1220
7,7,1258,1314,1220
8,7,1524,1314,1220
9,7,1314,1486,1220
10,7,1314,1314,1220
11,7,1314,1314,1220
12,7,1404,1314,1220
1,8,3710,4000,2550
2,8,4760,4000,2550
3,8,4760,4000,2550
4,8,4760,3710,2550
5,8,4760,4000,2550
6,8,4760,2760,2550
7,8,4260,4000,2550
8,8,4760,3710,2550
9,8,4760,2760,2550
10,8,4760,2760,2550
11,8,3710,4000,2550
12,8,4760,4000,2550
1,9,5600,8300,2400
2,9,8300,8300,2400
3,9,8000,8300,2400
4,9,8300,8300,2400
5,9,8300,8300,2400
6,9,8000,8300,2400
7,9,8000,8300,2400
8,9,8000,8300,2400
9,9,8000,8300,2400
10,9,8300,8300,2400
11,9,8000,8300,2400
12,9,6000,8300,2400
1,10,1358,2358,1320
2,10,2358,2358,1320
3,10,1358,2358,1320
4,10,2360,2358,1320
5,10,2360,2358,1320
6,10,2360,2358,1320
7,10,1358,2358,1320
8,10,2360,2358,1320
9,10,2360,2358,1320
10,10,2360,2358,1320
11,10,1238,2358,1320
12,10,1358,2358,1320
