Month,House,OGSA,Optimised,Preferred
1,1,6000,6100,3600
2,1,6000,6100,3600
3,1,7500,6100,3600
4,1,6000,6100,3600
5,1,6000,6100,3600
6,1,6000,6100,3600
7,1,6000,6100,3600
8,1,7600,6100,3600
9,1,6000,6100,3600
10,1,6100,6100,3600
11,1,6000,6100,3600
12,1,7500,6100,3600
1,2,3500,3500,3500
2,2,3500,3500,3500
3,2,3500,3500,3500
4,2,3945,3953,3500
5,2,3953,3953,3500
6,2,3945,3953,3500
7,2,3945,3593,3500
8,2,3953,3953,3500
9,2,3500,3500,3500
10,2,3500,3500,3500
11,2,3500,3500,3500
12,2,3593,3593,3500
1,3,3400,5225,2400
2,3,5150,5225,2400
3,3,4600,5225,2400
4,3,5150,5225,2400
5,3,4150,5225,2400
6,3,4600,4225,2400
7,3,2400,5225,2400
8,3,4600,5225,2400
9,3,4225,4225,2400
10,3,4150,4225,2400
11,3,3600,5225,2400
12,3,4600,5225,2400
1,4,2490,2850,2400
2,4,2850,2850,2400
3,4,2400,2850,2400
4,4,2400,2850,2400
5,4,2550,2850,2400
6,4,2550,2850,2400
7,4,2400,2850,2400
8,4,2455,2850,2400
9,4,2850,2850,2400
10,4,2550,2850,2400
11,4,2400,2850,2400
12,4,2455,2850,2400
1,5,3300,3420,2400
2,5,4520,3420,2400
3,5,3500,3420,2400
4,5,3420,3420,2400
5,5,4520,3420,2400
6,5,3420,3420,2400
7,5,2400,3420,2400
8,5,3420,3420,2400
9,5,3420,3420,2400
10,5,3420,3420,2400
11,5,3300,3420,2400
12,5,2400,3420,2400
1,6,2453,5203,2400
2,6,4845,5203,2400
3,6,4853,5203,2400
4,6,5195,5203,2400
5,6,4853,5203,2400
6,6,4853,5203,2400
7,6,4845,5203,2400
8,6,5150,5203,2400
9,6,4853,5203,2400
10,6,5195,5203,2400
11,6,4845,5203,2400
12,6,4845,5203,2400
1,7,2400,3615,1200
2,7,3600,3615,1200
3,7,3500,3615,1200
4,7,3600,3615,1200
5,7,3600,3615,1200
6,7,3600,3615,1200
7,7,3615,3615,1200
8,7,3600,3615,1200
9,7,3615,3615,1200
10,7,3600,3615,1200
11,7,2400,3615,1200
12,7,3500,3615,1200
1,8,2750,2870,2400
2,8,3950,2870,2400
3,8,2870,2870,2400
4,8,2870,2870,2400
5,8,2870,2870,2400
6,8,2870,2870,2400
7,8,2870,2870,2400
8,8,2870,2870,2400
9,8,2750,2400,2400
10,8,2750,2870,2400
11,8,2750,2870,2400
12,8,2750,2870,2400
1,9,1000,1997,1000
2,9,1997,1997,1000
3,9,1967,1997,1000
4,9,1997,1997,1000
5,9,1997,1997,1000
6,9,1997,1997,1000
7,9,1967,1997,1000
8,9,1997,1997,1000
9,9,1997,1997,1000
10,9,1997,1997,1000
11,9,1967,1997,1000
12,9,1967,1997,1000
1,10,2275,2275,1875
2,10,2280,2275,1875
3,10,2275,2275,1875
4,10,2275,2275,1875
5,10,2275,2275,1875
6,10,2275,2275,1875
7,10,2275,2275,1875
8,10,2275,2275,1875
9,10,2275,2275,1875
10,10,2275,2275,1875
11,10,2275,2275,1875
12,10,2275,2275,1875
1,11,2604,2604,2400
2,11,2604,2604,2400
3,11,2604,2604,2400
4,11,2604,2604,2400
5,11,2604,2604,2400
6,11,2604,2567,2400
7,11,2604,2604,2400
8,11,2604,2604,2400
9,11,2604,2567,2400
10,11,2604,2567,2400
11,11,2604,2604,2400
12,11,2697,2604,2400
1,12,8000,10910,6000
2,12,9710,10910,6000
3,12,7710,10910,6000
4,12,9700,10910,6000
5,12,9710,10910,6000
6,12,10910,10910,6000
7,12,7710,10910,6000
8,12,10910,10910,6000
9,12,9700,10910,6000
10,12,10910,10910,6000
11,12,9700,10910,6000
12,12,9710,10910,6000
1,13,2201,2281,1200
2,13,2280,2281,1200
3,13,2209,2281,1200
4,13,2209,2281,1200
5,13,2281,2281,1200
6,13,2281,2281,1200
7,13,1281,2281,1200
8,13,2209,2281,1200
9,13,2209,2281,1200
10,13,2281,2281,1200
11,13,2200,2281,1200
12,13,1208,2281,1200
1,14,8400,8400,5000
2,14,6000,8600,5000
3,14,6000,8600,5000
4,14,8400,8600,5000
5,14,6000,8600,5000
6,14,6000,8400,5000
7,14,7400,8600,5000
8,14,6000,8600,5000
9,14,6000,8400,5000
10,14,6000,8400,5000
11,14,8400,8400,5000
12,14,5000,8600,5000
1,15,7300,7393,4000
2,15,7393,7393,4000
3,15,7393,7393,4000
4,15,7393,7393,4000
5,15,7393,7393,4000
6,15,7300,7393,4000
7,15,7300,7393,4000
8,15,7300,7393,4000
9,15,7393,7393,4000
10,15,7300,7393,4000
11,15,7300,7393,4000
12,15,7300,7393,4000
1,16,1150,1800,600
2,16,1800,1800,600
3,16,1150,1800,600
4,16,1250,1800,600
5,16,1200,1800,600
6,16,1150,1800,600
7,16,1200,1800,600
8,16,1150,1800,600
9,16,1150,1800,600
10,16,1700,1800,600
11,16,1200,1800,600
12,16,1150,1800,600
1,17,6200,8620,4000
2,17,8520,8620,4000
3,17,6220,8620,4000
4,17,8520,8620,4000
5,17,8520,8620,4000
6,17,8620,8620,4000
7,17,8620,8620,4000
8,17,8620,8620,4000
9,17,8520,8620,4000
10,17,8520,8620,4000
11,17,8620,8620,4000
12,17,8520,8620,4000
1,18,3000,4505,2000
2,18,4805,4505,2000
3,18,3305,4505,2000
4,18,3005,4505,2000
5,18,3005,4505,2000
6,18,4505,4505,2000
7,18,3500,4505,2000
8,18,4505,4505,2000
9,18,3005,4505,2000
10,18,3005,4505,2000
11,18,3000,4505,2000
12,18,2305,4505,2000
1,19,1122,1062,900
2,19,1122,1062,900
3,19,1062,1062,900
4,19,1062,1062,900
5,19,1062,1062,900
6,19,1062,1062,900
7,19,1063,1062,900
8,19,1062,1062,900
9,19,1062,1061,900
10,19,1062,1062,900
11,19,1062,1062,900
12,19,1062,1062,900
1,20,2500,3200,2400
2,20,3200,3200,2400
3,20,3272,3200,2400
4,20,3320,3200,2400
5,20,3200,3200,2400
6,20,3200,2400,2400
7,20,3200,3200,2400
8,20,3200,2500,2400
9,20,3200,2400,2400
10,20,3200,3200,2400
11,20,2500,3200,2400
12,20,3200,3200,2400
1,21,6000,6000,6000
2,21,6000,6000,6000
3,21,6000,6000,6000
4,21,6015,6000,6000
5,21,6115,6000,6000
6,21,7615,6000,6000
7,21,6000,6000,6000
8,21,6115,6000,6000
9,21,6000,6000,6000
10,21,6000,6000,6000
11,21,6000,6000,6000
12,21,6000,6000,6000
1,22,4600,5500,4200
2,22,5500,5500,4200
3,22,5500,5500,4200
4,22,5500,5500,4200
5,22,5500,5500,4200
6,22,5500,5500,4200
7,22,4600,5500,4200
8,22,5500,5500,4200
9,22,5500,5500,4200
10,22,4600,5500,4200
11,22,4600,5500,4200
12,22,5500,5500,4200
1,23,6758,6100,2400
2,23,6100,6100,2400
3,23,6100,6100,2400
4,23,6100,6100,2400
5,23,6100,6100,2400
6,23,6100,6100,2400
7,23,6100,6100,2400
8,23,6100,6100,2400
9,23,6100,6100,2400
10,23,6100,6100,2400
11,23,6750,6100,2400
12,23,6100,6100,2400
1,24,1624,1624,1100
2,24,1624,1624,1100
3,24,1624,1624,1100
4,24,1624,1624,1100
5,24,1624,1624,1100
