Month,House,OGSA,Optimised,Preferred
1,1,1031,1128,1000
2,1,1097,1128,1000
3,1,1097,1128,1000
4,1,1128,1128,1000
5,1,1108,1128,1000
6,1,1128,1128,1000
7,1,1083,1128,1000
8,1,1128,1128,1000
9,1,1108,1128,1000
10,1,1128,1128,1000
11,1,1056,1128,1000
12,1,1000,1128,1000
1,2,430,584,300
2,2,584,584,300
3,2,335,584,300
4,2,584,584,300
5,2,584,584,300
6,2,580,584,300
7,2,300,584,300
8,2,584,584,300
9,2,584,584,300
10,2,584,584,300
11,2,505,584,300
12,2,430,584,300
1,3,2800,4062,2800
2,3,4062,4062,2800
3,3,3755,4062,2800
4,3,4155,4062,2800
5,3,4062,4062,2800
6,3,4062,4062,2800
7,3,4062,4062,2800
8,3,2462,4062,2800
9,3,2800,4062,2800
10,3,2800,4062,2800
11,3,3662,4062,2800
12,3,2862,4062,2800
1,4,6500,6575,3600
2,4,6575,6575,3600
3,4,6500,6575,3600
4,4,6575,6575,3600
5,4,6575,6575,3600
6,4,6575,6575,3600
7,4,6575,6575,3600
8,4,8900,6575,3600
9,4,6575,6575,3600
10,4,6575,6575,3600
11,4,6575,6575,3600
12,4,6575,6575,3600
1,5,1150,1143,1100
2,5,1143,1143,1100
3,5,1150,1143,1100
4,5,1143,1143,1100
5,5,1143,1143,1100
6,5,1143,1143,1100
7,5,1193,1143,1100
8,5,1143,1143,1100
9,5,1143,1143,1100
10,5,1143,1143,1100
11,5,2208,2208,1100
12,5,1143,1143,1100
1,6,3600,3600,3600
2,6,3822,3770,3600
3,6,3600,3600,3600
4,6,3600,3770,3600
5,6,3702,3770,3600
6,6,3600,3770,3600
7,6,3600,3600,3600
8,6,3702,3770,3600
9,6,3600,3770,3600
10,6,3600,6170,3600
11,6,3600,3600,3600
12,6,3600,3600,3600
1,7,4772,4772,2400
2,7,4772,4772,2400
3,7,4772,4772,2400
4,7,4772,4772,2400
5,7,4772,4772,2400
6,7,4772,4772,2400
7,7,4700,4772,2400
8,7,4772,4772,2400
9,7,4772,4772,2400
10,7,4772,4772,2400
11,7,4700,4772,2400
12,7,4772,4772,2400
1,8,2820,2820,1700
2,8,2820,2940,1700
3,8,2820,2820,1700
