Month,House,OGSA,Optimised,Preferred
1,1,7255,7255,6000
2,1,7255,7255,6000
3,1,7255,7255,6000
4,1,7255,7255,6000
5,1,7255,7255,6000
6,1,7255,7255,6000
7,1,7175,7255,6000
8,1,7255,7255,6000
9,1,7955,7875,6000
10,1,7955,7955,6000
11,1,7175,7255,6000
12,1,7175,7255,6000
1,2,6475,6772,6000
2,2,6775,6700,6000
3,2,6772,6772,6000
4,2,6775,6700,6000
5,2,6700,6700,6000
6,2,6775,6700,6000
7,2,6700,6772,6000
8,2,6700,6700,6000
9,2,6700,6700,6000
10,2,6775,6700,6000
11,2,6775,6700,6000
12,2,6472,6772,6000
1,3,4800,4905,2400
2,3,4905,4905,2400
3,3,4800,4905,2400
4,3,4800,4905,2400
5,3,4855,4905,2400
6,3,4850,4905,2400
7,3,2505,4905,2400
8,3,4800,4905,2400
9,3,4905,4905,2400
10,3,4905,4905,2400
11,3,4855,4905,2400
12,3,4800,4905,2400
1,4,6693,6600,6000
2,4,7853,7193,6000
3,4,6093,6600,6000
4,4,7793,6693,6000
5,4,7793,7193,6000
6,4,7793,6693,6000
7,4,7760,6600,6000
8,4,6753,6693,6000
9,4,7853,6693,6000
10,4,7853,6693,6000
11,4,7700,6600,6000
12,4,6093,6600,6000
1,5,1530,1320,1200
2,5,1690,1380,1200
3,5,1530,1320,1200
4,5,1690,1380,1200
5,5,1690,1380,1200
6,5,1690,1380,1200
7,5,1690,1320,1200
8,5,1690,1380,1200
9,5,1690,1380,1200
10,5,1630,1380,1200
11,5,1530,1320,1200
12,5,1630,1320,1200
1,6,5015,5000,3600
2,6,5015,5000,3600
3,6,4615,5000,3600
4,6,5015,5000,3600
5,6,5015,5000,3600
6,6,5015,5000,3600
7,6,5015,5000,3600
8,6,5015,5000,3600
9,6,5015,4615,3600
10,6,5015,5000,3600
11,6,4615,5000,3600
12,6,5015,5000,3600
1,7,5502,5502,5100
2,7,5502,5502,5100
3,7,5502,5502,5100
4,7,5502,5502,5100
5,7,5502,5502,5100
6,7,5502,5502,5100
7,7,5502,5502,5100
8,7,5502,5502,5100
9,7,5502,5502,5100
10,7,5502,5502,5100
11,7,5502,5502,5100
12,7,5502,5502,5100
1,8,3455,4600,4600
2,8,5655,3450,4600
3,8,5655,4600,4600
4,8,5655,4650,4600
5,8,5655,4600,4600
6,8,5655,4650,4600
7,8,5655,4600,4600
8,8,5655,4650,4600
9,8,5655,4650,4600
10,8,5655,4650,4600
11,8,5655,4600,4600
12,8,5655,4600,4600
1,9,3511,3571,3500
2,9,3571,3505,3500
3,9,3571,3571,3500
4,9,3571,3571,3500
5,9,3576,3571,3500
6,9,3576,3571,3500
7,9,3571,3571,3500
8,9,3576,3571,3500
9,9,3576,3571,3500
10,9,3576,3571,3500
11,9,3571,3571,3500
12,9,3571,3571,3500
1,10,2238,2290,1200
2,10,2328,2290,1200
3,10,2283,2290,1200
4,10,2328,2290,1200
5,10,2328,2290,1200
6,10,2328,2290,1200
7,10,2283,2290,1200
8,10,2328,2290,1200
9,10,2328,1328,1200
10,10,2328,2290,1200
11,10,2238,2290,1200
12,10,2283,2290,1200
1,11,5005,6005,5000
2,11,8105,8100,5000
3,11,6905,6005,5000
4,11,8105,8100,5000
5,11,8105,8100,5000
6,11,8105,8100,5000
7,11,8100,6005,5000
8,11,8105,8100,5000
9,11,8105,8100,5000
10,11,8105,8100,5000
11,11,8105,6005,5000
12,11,7205,6005,5000
1,12,1200,1200,1200
2,12,1200,1200,1200
3,12,2262,1262,1200
4,12,1200,1262,1200
5,12,1200,1262,1200
6,12,1200,1262,1200
7,12,1200,1200,1200
8,12,2262,1320,1200
9,12,2267,1262,1200
10,12,2387,1262,1200
11,12,1200,1200,1200
12,12,1200,1200,1200
1,13,3400,2500,1200
2,13,3768,2500,1200
3,13,3768,2500,1200
4,13,3768,2768,1200
5,13,3768,2500,1200
6,13,3768,2768,1200
7,13,3468,2500,1200
8,13,3768,2768,1200
9,13,3468,2768,1200
10,13,3468,2768,1200
11,13,3768,2500,1200
12,13,3768,2768,1200
1,14,2162,2162,1700
2,14,2162,2162,1700
3,14,3000,2162,1700
4,14,2100,2162,1700
5,14,2162,2162,1700
6,14,3100,2162,1700
7,14,2100,2162,1700
8,14,3162,2162,1700
9,14,2162,2162,1700
10,14,3162,2162,1700
11,14,3100,2162,1700
12,14,2100,2162,1700
1,15,3900,3000,2500
2,15,3900,3000,2500
3,15,3900,3000,2500
4,15,3900,3000,2500
5,15,3962,3000,2500
6,15,3900,3000,2500
7,15,3962,3000,2500
8,15,3900,3000,2500
9,15,3900,3000,2500
10,15,3900,3000,2500
11,15,3062,3000,2500
12,15,3900,3000,2500
1,16,1375,1375,1200
2,16,2375,2350,1200
3,16,2375,2275,1200
4,16,2375,2350,1200
5,16,2375,2350,1200
6,16,2375,2350,1200
7,16,2300,2275,1200
8,16,2375,2350,1200
9,16,2450,2350,1200
10,16,2450,2350,1200
11,16,2300,1375,1200
12,16,2375,2275,1200
1,17,2583,2588,2400
2,17,2588,2588,2400
3,17,2583,2588,2400
4,17,2588,2588,2400
5,17,2588,2588,2400
6,17,2588,2588,2400
7,17,2588,2588,2400
8,17,2588,2588,2400
9,17,2588,2588,2400
10,17,2588,2588,2400
11,17,2583,2588,2400
12,17,2583,2588,2400
1,18,2300,2310,2300
2,18,2548,2300,2300
3,18,2498,2300,2300
4,18,2498,2310,2300
5,18,2498,2310,2300
6,18,2548,2310,2300
7,18,2498,2300,2300
8,18,2548,2300,2300
9,18,2548,2300,2300
10,18,2498,2310,2300
11,18,2548,2300,2300
12,18,2448,2310,2300
1,19,5105,7705,5000
2,19,7705,7705,5000
3,19,10105,7705,5000
4,19,10105,7705,5000
5,19,10105,7705,5000
6,19,7705,5105,5000
7,19,10105,7705,5000
8,19,10105,7705,5000
9,19,10105,5105,5000
10,19,10105,5105,5000
11,19,7705,7705,5000
12,19,10105,7705,5000
1,20,635,860,600
2,20,875,860,600
3,20,735,860,600
4,20,875,860,600
5,20,875,860,600
6,20,875,860,600
7,20,860,860,600
8,20,875,860,600
9,20,875,735,600
10,20,875,860,600
11,20,875,860,600
12,20,635,860,600
1,21,4610,4400,2400
2,21,4410,4400,2400
3,21,6730,4400,2400
4,21,4530,4400,2400
5,21,4730,4400,2400
6,21,6730,4400,2400
7,21,4210,4400,2400
8,21,4530,4400,2400
9,21,6730,4400,2400
10,21,6730,4400,2400
11,21,2530,4400,2400
12,21,2530,4400,2400
1,22,2315,2512,2300
2,22,2513,2512,2300
3,22,2300,2512,2300
4,22,2303,2512,2300
5,22,2303,2512,2300
6,22,2512,2512,2300
7,22,2300,2512,2300
8,22,2512,2512,2300
9,22,2527,2513,2300
10,22,2512,2512,2300
11,22,2300,2512,2300
12,22,2315,2512,2300
1,23,1244,1200,1200
2,23,1244,1200,1200
3,23,1239,1200,1200
4,23,1244,1205,1200
5,23,1244,1205,1200
6,23,1244,1205,1200
7,23,1244,1200,1200
8,23,1244,1205,1200
9,23,1244,1205,1200
10,23,1239,1205,1200
