Month,House,OGSA,Optimised,Preferred
1,1,2000,2130,2000
2,1,2050,2130,2000
3,1,2600,2000,2000
4,1,2000,2180,2000
5,1,2000,2180,2000
1,2,6210,6000,2400
2,2,6225,6015,2400
3,2,5010,6000,2400
4,2,5010,6000,2400
5,2,6000,6000,2400
1,3,2400,3300,2460
2,3,2450,3300,2460
3,3,3300,3300,2460
4,3,2450,3300,2460
5,3,2450,3300,2460
1,4,5200,5200,4000
2,4,5200,5200,4000
3,4,5320,5200,4000
4,4,4000,5200,4000
5,4,5200,5200,4000
1,5,1499,1350,1000
2,5,1359,1359,1000
3,5,1499,1406,1000
4,5,1406,1406,1000
5,5,1406,1406,1000
1,6,2550,2630,1200
2,6,2530,2530,1200
3,6,2180,2630,1200
4,6,2530,2530,1200
5,6,2530,2530,1200
1,7,1750,1750,900
2,7,1600,1750,900
3,7,1600,1750,900
4,7,1750,1750,900
5,7,1750,1750,900
1,8,2500,2400,2400
2,8,2400,2400,2400
3,8,2400,2400,2400
4,8,2400,2400,2400
5,8,3000,2400,2400
1,9,6030,6056,6000
2,9,6000,6086,6000
3,9,6000,6086,6000
4,9,6000,6086,6000
5,9,6000,6086,6000
1,10,7400,8080,5000
2,10,7630,8080,5000
3,10,5230,8080,5000
4,10,7630,8080,5000
5,10,7630,8080,5000
