,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred
,,,,,Initial,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,
1,1,input_order,indomain_min,obj,456850.0,456850.0,456850.0,456850.0,471850.0,1101650.0
1,1,input_order,indomain_min,time,80.0,130.0,50.0,90.0,0.0006864950992166996,
1,2,input_order,indomain_min,obj,1999860.0,1999860.0,1999860.0,1999860.0,1999860.0,4020960.0
1,2,input_order,indomain_min,time,60.0,100.0,60.0,80.0,0.0003223090898245573,
1,3,input_order,indomain_min,obj,877300.0,877300.0,877300.0,877300.0,898900.0,1358800.0
1,3,input_order,indomain_min,time,70.0,120.0,80.0,100.0,0.0005293709691613913,
1,4,input_order,indomain_min,obj,2164330.0,2164330.0,2164330.0,2164330.0,2672440.0,2278270.0
1,4,input_order,indomain_min,time,60.0,120.0,50.0,100.0,0.0004243329167366028,
1,5,input_order,indomain_min,obj,414635.0,414635.0,414635.0,414635.0,414635.0,2445674.0
1,5,input_order,indomain_min,time,60.0,110.0,50.0,70.0,0.0002765338867902756,
1,6,input_order,indomain_min,obj,862800.0,862800.0,862800.0,862800.0,865900.0,2113300.0
1,6,input_order,indomain_min,time,60.0,100.0,50.0,70.0,0.00024932296946644783,
1,7,input_order,indomain_min,obj,507100.0,507100.0,507100.0,507100.0,507900.0,739550.0
1,7,input_order,indomain_min,time,60.0,100.0,50.0,80.0,0.0003266329877078533,
1,8,input_order,indomain_min,obj,1039640.0,1039640.0,1039640.0,1039640.0,1048940.0,1640852.0
1,8,input_order,indomain_min,time,60.0,120.0,50.0,100.0,0.00042136991396546364,
1,9,input_order,indomain_min,obj,2816167.0,2816167.0,2816167.0,2816167.0,2923980.0,3539348.0
1,9,input_order,indomain_min,time,60.0,110.0,50.0,90.0,0.00037082983180880547,
1,10,input_order,indomain_min,obj,779350.0,779350.0,779350.0,779350.0,783750.0,1749560.0
1,10,input_order,indomain_min,time,60.0,100.0,50.0,70.0,0.0002441841643303633,
2,1,input_order,indomain_min,obj,402040.0,402040.0,402040.0,402040.0,405590.0,1322970.0
2,1,input_order,indomain_min,time,60.0,130.0,50.0,100.0,0.0005557029508054256,
2,2,input_order,indomain_min,obj,1716720.0,1716720.0,1716720.0,1716720.0,1730700.0,4042980.0
2,2,input_order,indomain_min,time,60.0,100.0,50.0,80.0,0.00034995516762137413,
2,3,input_order,indomain_min,obj,736080.0,736080.0,736080.0,736080.0,750880.0,1163680.0
2,3,input_order,indomain_min,time,60.0,120.0,50.0,90.0,0.0005296149756759405,
2,4,input_order,indomain_min,obj,1978565.0,1978565.0,1978565.0,1978565.0,2082785.0,2198260.0
2,4,input_order,indomain_min,time,60.0,130.0,60.0,100.0,0.0005573870148509741,
2,5,input_order,indomain_min,obj,351446.0,351446.0,351446.0,351446.0,351446.0,1043302.0
2,5,input_order,indomain_min,time,60.0,110.0,50.0,80.0,0.0003145858645439148,
2,6,input_order,indomain_min,obj,746970.0,746970.0,746970.0,746970.0,746970.0,1524260.0
2,6,input_order,indomain_min,time,60.0,100.0,50.0,70.0,0.0003482159227132797,
2,7,input_order,indomain_min,obj,442450.0,442450.0,442450.0,442450.0,442850.0,686750.0
2,7,input_order,indomain_min,time,60.0,100.0,50.0,80.0,0.0003608639817684889,
2,8,input_order,indomain_min,obj,938432.0,938432.0,938432.0,938432.0,1016632.0,1656072.0
2,8,input_order,indomain_min,time,60.0,150.0,50.0,100.0,0.00047063594684004784,
2,9,input_order,indomain_min,obj,2492409.0,2492409.0,2492409.0,2492409.0,2575758.0,3480489.0
2,9,input_order,indomain_min,time,60.0,110.0,50.0,80.0,0.000392785994336009,
2,10,input_order,indomain_min,obj,634880.0,634880.0,634880.0,634880.0,634880.0,1538010.0
2,10,input_order,indomain_min,time,60.0,100.0,50.0,70.0,0.0002650790847837925,
3,1,input_order,indomain_min,obj,397810.0,397810.0,397810.0,397810.0,393240.0,585320.0
3,1,input_order,indomain_min,time,60.0,150.0,50.0,100.0,0.0005239211022853851,
3,2,input_order,indomain_min,obj,1723350.0,1723350.0,1723350.0,1723350.0,1745730.0,2189430.0
3,2,input_order,indomain_min,time,60.0,100.0,50.0,80.0,0.0003349508624523878,
3,3,input_order,indomain_min,obj,758400.0,758400.0,758400.0,758400.0,762000.0,1107000.0
3,3,input_order,indomain_min,time,70.0,120.0,60.0,90.0,0.000494831008836627,
3,4,input_order,indomain_min,obj,1870495.0,1870495.0,1870495.0,1870495.0,1868155.0,2095260.0
3,4,input_order,indomain_min,time,60.0,120.0,50.0,100.0,0.0004676810931414366,
3,5,input_order,indomain_min,obj,357317.0,357317.0,357317.0,357317.0,357504.0,548413.0
3,5,input_order,indomain_min,time,60.0,100.0,60.0,70.0,0.0002914639189839363,
3,6,input_order,indomain_min,obj,746260.0,746260.0,746260.0,746260.0,746460.0,1018600.0
3,6,input_order,indomain_min,time,60.0,100.0,50.0,70.0,0.0002687000669538975,
3,7,input_order,indomain_min,obj,437950.0,437950.0,437950.0,437950.0,439050.0,631800.0
3,7,input_order,indomain_min,time,60.0,100.0,50.0,80.0,0.0003474871627986431,
3,8,input_order,indomain_min,obj,904196.0,904196.0,904196.0,904196.0,992096.0,1325296.0
3,8,input_order,indomain_min,time,60.0,120.0,50.0,100.0,0.0004418210592120886,
3,9,input_order,indomain_min,obj,2434026.0,2434026.0,2434026.0,2434026.0,2703291.0,3172048.0
3,9,input_order,indomain_min,time,70.0,110.0,50.0,90.0,0.00037614908069372177,
3,10,input_order,indomain_min,obj,671740.0,671740.0,671740.0,671740.0,672640.0,1019550.0
3,10,input_order,indomain_min,time,60.0,100.0,50.0,70.0,0.0002649619709700346,
4,1,input_order,indomain_min,obj,370770.0,370770.0,370770.0,370770.0,393930.0,584710.0
4,1,input_order,indomain_min,time,60.0,120.0,50.0,90.0,0.0005008860025554895,
4,2,input_order,indomain_min,obj,1612815.0,1612815.0,1612815.0,1612815.0,1622985.0,2226645.0
4,2,input_order,indomain_min,time,60.0,100.0,50.0,80.0,0.0003331990446895361,
4,3,input_order,indomain_min,obj,708760.0,708760.0,708760.0,708760.0,715860.0,1092660.0
4,3,input_order,indomain_min,time,70.0,110.0,70.0,90.0,0.0004895769525319338,
4,4,input_order,indomain_min,obj,1749815.0,1749815.0,1749815.0,1749815.0,2202555.0,1912020.0
4,4,input_order,indomain_min,time,60.0,120.0,60.0,100.0,0.00043657002970576286,
4,5,input_order,indomain_min,obj,333869.0,333869.0,333869.0,333869.0,334430.0,640229.0
4,5,input_order,indomain_min,time,60.0,100.0,60.0,70.0,0.00028385105542838573,
4,6,input_order,indomain_min,obj,697370.0,697370.0,697370.0,697370.0,699470.0,1125500.0
4,6,input_order,indomain_min,time,60.0,100.0,50.0,70.0,0.0002665508072823286,
4,7,input_order,indomain_min,obj,409700.0,409700.0,409700.0,409700.0,411450.0,624800.0
4,7,input_order,indomain_min,time,60.0,100.0,50.0,80.0,0.0003433399833738804,
4,8,input_order,indomain_min,obj,846432.0,846432.0,846432.0,846432.0,1025032.0,1320780.0
4,8,input_order,indomain_min,time,60.0,110.0,50.0,100.0,0.00043193111196160316,
4,9,input_order,indomain_min,obj,2278370.0,2278370.0,2278370.0,2278370.0,2602356.0,3467785.0
4,9,input_order,indomain_min,time,70.0,110.0,60.0,90.0,0.00036974111571907997,
4,10,input_order,indomain_min,obj,624380.0,624380.0,624380.0,624380.0,624980.0,1175480.0
4,10,input_order,indomain_min,time,60.0,100.0,60.0,70.0,0.000260339118540287,
5,1,input_order,indomain_min,obj,303760.0,303760.0,303760.0,303760.0,333930.0,604410.0
5,1,input_order,indomain_min,time,60.0,160.0,50.0,100.0,0.0004988431464880705,
5,2,input_order,indomain_min,obj,1289325.0,1289325.0,1289325.0,1289325.0,1299435.0,2496705.0
5,2,input_order,indomain_min,time,60.0,100.0,60.0,80.0,0.00038012699224054813,
5,3,input_order,indomain_min,obj,583760.0,583760.0,583760.0,583760.0,594260.0,1191360.0
5,3,input_order,indomain_min,time,70.0,120.0,60.0,90.0,0.0004847890231758356,
5,4,input_order,indomain_min,obj,1408005.0,1408005.0,1408005.0,1408005.0,1899410.0,1766070.0
5,4,input_order,indomain_min,time,60.0,120.0,50.0,100.0,0.0004349451046437025,
5,5,input_order,indomain_min,obj,266140.0,266140.0,266140.0,266140.0,266423.0,769478.0
5,5,input_order,indomain_min,time,60.0,100.0,60.0,70.0,0.00027948105707764626,
5,6,input_order,indomain_min,obj,562260.0,562260.0,562260.0,562260.0,564460.0,1264640.0
5,6,input_order,indomain_min,time,60.0,100.0,60.0,70.0,0.0002648851368576288,
5,7,input_order,indomain_min,obj,329050.0,329050.0,329050.0,329050.0,329900.0,614800.0
5,7,input_order,indomain_min,time,60.0,100.0,50.0,80.0,0.00034197699278593063,
5,8,input_order,indomain_min,obj,693656.0,693656.0,693656.0,693656.0,735356.0,1322900.0
5,8,input_order,indomain_min,time,60.0,120.0,50.0,100.0,0.0004249198827892542,
5,9,input_order,indomain_min,obj,1835029.0,1835029.0,1835029.0,1835029.0,2139114.0,3708800.0
5,9,input_order,indomain_min,time,70.0,110.0,60.0,80.0,0.0003717299550771713,
5,10,input_order,indomain_min,obj,494290.0,494290.0,494290.0,494290.0,496890.0,1242040.0
5,10,input_order,indomain_min,time,60.0,100.0,50.0,70.0,0.0002605360932648182,
