Month,House,OGSA,Optimised,Preferred
1,1,1704,1611,1011
2,1,1704,1611,1011
3,1,1704,1154,1011
4,1,1704,1611,1011
5,1,1704,1611,1011
6,1,1704,1154,1011
7,1,1704,1611,1011
8,1,1704,1154,1011
9,1,1704,1154,1011
10,1,1704,1154,1011
11,1,1704,1611,1011
12,1,1704,1154,1011
1,2,2004,2254,2000
2,2,2554,2254,2000
3,2,2254,2254,2000
4,2,2554,2254,2000
5,2,2254,2254,2000
6,2,2254,2254,2000
7,2,2130,2254,2000
8,2,2254,2254,2000
9,2,2254,2254,2000
10,2,2554,2254,2000
11,2,2134,2254,2000
12,2,2254,2254,2000
1,3,3732,4687,3600
2,3,4732,4687,3600
3,3,3732,4687,3600
4,3,4732,4660,3600
5,3,4732,4687,3600
6,3,4732,4660,3600
7,3,3732,4687,3600
8,3,4732,4660,3600
9,3,4732,4660,3600
10,3,4732,4660,3600
11,3,3732,4687,3600
12,3,3732,4687,3600
1,4,7915,8465,7000
2,4,7915,8465,7000
3,4,7915,8465,7000
4,4,7915,8465,7000
5,4,8465,8465,7000
6,4,7915,8465,7000
7,4,7915,8465,7000
8,4,8465,8465,7000
9,4,7915,8465,7000
10,4,8465,8465,7000
11,4,7015,8465,7000
12,4,7915,8465,7000
1,5,5750,3900,3600
2,5,5900,3900,3600
3,5,4050,3900,3600
4,5,5900,3900,3600
5,5,5900,3900,3600
6,5,5900,3600,3600
7,5,5250,3900,3600
8,5,5900,3900,3600
9,5,5900,3600,3600
10,5,5900,3600,3600
11,5,4550,3900,3600
12,5,5250,3900,3600
1,6,1505,1700,1500
2,6,2250,1700,1500
3,6,2250,1700,1500
4,6,1700,1700,1500
5,6,1700,1700,1500
6,6,2195,1700,1500
7,6,1700,1700,1500
8,6,2250,1700,1500
9,6,2250,1700,1500
10,6,2195,2245,1500
11,6,1695,1700,1500
12,6,2050,1700,1500
1,7,2450,3450,2400
2,7,4200,3450,2400
3,7,3200,3450,2400
4,7,4200,3450,2400
5,7,4200,3450,2400
6,7,4200,3150,2400
7,7,2500,3450,2400
8,7,4200,3450,2400
9,7,4200,3150,2400
10,7,4200,3150,2400
11,7,4200,3450,2400
12,7,4200,3450,2400
1,8,4300,4200,2400
2,8,3708,4200,2400
3,8,3600,4200,2400
4,8,3700,4200,2400
5,8,4308,4200,2400
6,8,4308,4200,2400
7,8,4300,4200,2400
8,8,3700,4200,2400
9,8,4308,4200,2400
10,8,4308,4200,2400
11,8,3600,4200,2400
12,8,3708,4200,2400
1,9,2460,4460,2400
2,9,4460,4460,2400
3,9,4430,4460,2400
4,9,4460,4460,2400
5,9,4460,4460,2400
6,9,4460,4460,2400
7,9,4460,4460,2400
8,9,4460,4460,2400
9,9,4460,4460,2400
10,9,4460,4460,2400
11,9,2460,4460,2400
12,9,2460,4460,2400
