Month,House,Attribute,0,1,2,3,4
0,1,demands,80,6000,60,68,2400
0,1,durations,1,8,4,2,2
0,1,earliest_starts,0,0,0,0,0
0,1,latest_ends,143,143,143,143,143
0,1,care_factors,6000,4000,1000,0,0
0,1,predecessors,-1,-1,-1,-1,-1
0,1,successors,-1,-1,-1,-1,-1
0,1,prec_delays,-1,-1,-1,-1,-1
0,1,preferred_starts,88,64,84,39,64
1,1,astart - ogsa,88,16,77,17,21
1,1,astart - Gecode,88,16,77,15,15
1,1,astart - Gurobi,88,16,77,22,22
2,1,astart - ogsa,88,6,84,7,6
2,1,astart - Gecode,88,6,84,6,6
2,1,astart - Gurobi,88,6,84,7,7
0,2,demands,100,1200,150,38,38
0,2,durations,11,4,3,1,2
0,2,earliest_starts,0,0,0,0,0
0,2,latest_ends,143,143,143,143,143
0,2,care_factors,3000,7000,2000,9000,5000
0,2,predecessors,0,-1,-1,-1,-1
0,2,successors,1,-1,-1,-1,-1
0,2,prec_delays,124,-1,-1,-1,-1
0,2,preferred_starts,16,110,97,107,91
1,2,astart - ogsa,16,110,108,107,91
1,2,astart - Gecode,16,110,108,107,91
1,2,astart - Gurobi,16,110,108,107,91
2,2,astart - ogsa,16,110,102,107,91
2,2,astart - Gecode,16,110,102,107,91
2,2,astart - Gurobi,16,110,102,107,91
0,3,demands,100,550,35,210,1000
0,3,durations,4,6,3,5,9
0,3,earliest_starts,0,0,0,0,0
0,3,latest_ends,143,143,143,143,143
0,3,care_factors,8000,1000,1000,4000,10000
0,3,predecessors,2,-1,-1,-1,-1
0,3,successors,3,-1,-1,-1,-1
0,3,prec_delays,20,-1,-1,-1,-1
0,3,preferred_starts,3,16,0,111,15
1,3,astart - ogsa,3,16,0,23,15
1,3,astart - Gecode,3,16,88,111,15
1,3,astart - Gurobi,3,16,88,111,15
2,3,astart - ogsa,3,6,0,23,15
2,3,astart - Gecode,3,6,88,111,15
2,3,astart - Gurobi,3,6,88,111,15
