Month,House,OGSA,Optimised,Preferred
1,1,3965,3965,2400
2,1,3965,3965,2400
1,2,7472,7483,3600
2,2,7483,7483,3600
1,3,1636,1568,900
2,3,1671,1568,900
1,4,2150,1151,1200
2,4,2251,1151,1200
1,5,6012,7050,5050
2,5,8012,7950,5050
