Month,House,Limit,OGSA,Optimised,Preferred
1,1,20000,4300,4300,4000
2,1,20000,7800,4000,4000
1,2,10000,2000,2000,2000
2,2,10000,2000,2200,2000
1,3,20000,4000,4000,6400
2,3,20000,5000,5000,6400
1,4,600,130,130,130
2,4,600,130,130,130
1,5,10500,4100,4100,2100
2,5,10500,2100,2100,2100
1,6,8500,1775,1775,1700
2,6,8500,1700,1700,1700
1,7,12000,2400,2400,2400
2,7,12000,2400,2472,2400
1,8,6000,2300,1200,1200
2,8,6000,1200,1200,1200
1,9,2500,500,500,500
2,9,2500,500,500,500
1,10,12000,2400,2400,2400
2,10,12000,2400,2400,2400
1,11,12000,2402,2400,2400
2,11,12000,2402,2400,2400
1,12,12000,2400,2400,2400
2,12,12000,2530,2530,2400
1,13,12000,2400,2400,2400
2,13,12000,2400,2400,2400
1,14,6000,1200,1200,1200
2,14,6000,1200,1200,1200
1,15,6000,1200,1200,1200
2,15,6000,1200,1200,1200
1,16,6000,1200,1200,1202
2,16,6000,1200,1200,1202
1,17,6000,1200,1200,1200
2,17,6000,1200,1200,1200
1,18,12000,2400,4800,3000
2,18,12000,4800,4800,3000
1,19,8500,3450,3450,1700
2,19,8500,3450,3450,1700
1,20,5500,1100,1100,1100
2,20,5500,1100,1100,1100
1,21,2750,680,550,550
2,21,2750,780,550,550
1,22,12000,4500,4500,2400
2,22,12000,4500,4500,2400
1,23,5000,1000,1000,1000
2,23,5000,1000,1000,1000
1,24,6000,1200,1200,1200
2,24,6000,1200,1200,1200
1,25,11000,2300,2300,2200
2,25,11000,2400,2400,2200
1,26,12000,2615,2615,2400
2,26,12000,2400,2400,2400
1,27,18000,4100,4100,3600
2,27,18000,3600,3600,3600
1,28,12000,2400,2400,2400
2,28,12000,2400,2400,2400
1,29,10500,2100,2100,2100
2,29,10500,2100,2100,2100
1,30,30000,10452,9500,6000
2,30,30000,9552,6000,6000
1,31,6000,1200,1200,1200
2,31,6000,1200,1200,1200
1,32,17500,3500,3500,3500
2,32,17500,3500,3500,3500
1,33,6000,1200,1200,1200
2,33,6000,1200,1200,1200
1,34,30000,6000,6000,6000
2,34,30000,6000,6000,6000
1,35,18000,3600,3600,3600
2,35,18000,3600,3600,3600
1,36,20000,4300,4300,4000
2,36,20000,4210,4210,4000
1,37,17500,5900,5900,3500
2,37,17500,5900,5900,3500
1,38,6000,1200,1200,1200
2,38,6000,1200,1200,1200
1,39,6000,1200,1200,1200
2,39,6000,1200,1252,1200
1,40,1750,350,350,350
2,40,1750,350,350,350
1,41,11000,2200,2200,2200
2,41,11000,2200,2200,2200
1,42,25000,5000,5000,5055
2,42,25000,5000,5000,5055
1,43,6000,1200,1200,1200
2,43,6000,1200,1200,1200
1,44,1500,300,300,300
2,44,1500,300,300,300
1,45,25000,9000,9000,5000
2,45,25000,9000,9000,5000
1,46,25000,9000,9000,5000
2,46,25000,5350,5350,5000
1,47,20000,6400,6400,4000
2,47,20000,4000,4000,4000
1,48,30000,6072,6072,6000
2,48,30000,12072,12072,6000
1,49,10500,2100,2100,2100
2,49,10500,2172,2100,2100
1,50,25000,5000,5000,5000
2,50,25000,5000,5000,5000
