Month,House,Gecode,Gurobi,Limit,OGSA,Preferred
1,1,3615,3615,18000,3615,3600
2,1,3615,3615,18000,3615,3600
3,1,3615,3615,18000,3615,3600
4,1,3615,3615,18000,3615,3600
5,1,3615,3615,18000,3615,3600
6,1,3615,3615,18000,3615,3600
7,1,3615,3615,18000,3615,3600
8,1,3615,3615,18000,3615,3600
9,1,3615,3615,18000,3615,3600
10,1,3615,3615,18000,3615,3600
11,1,3615,3615,18000,3615,3600
12,1,3615,3615,18000,3615,3600
1,2,5000,5000,25000,5000,5000
2,2,7300,7300,25000,7300,5000
3,2,5000,5000,25000,5000,5000
4,2,7300,7300,25000,7300,5000
5,2,5000,5000,25000,5000,5000
6,2,7300,7300,25000,7300,5000
7,2,7300,7300,25000,7300,5000
8,2,7300,7300,25000,7300,5000
9,2,5000,5000,25000,5000,5000
10,2,5000,5000,25000,5000,5000
11,2,5000,5000,25000,5000,5000
12,2,5000,5000,25000,5000,5000
1,3,9300,9300,30000,6900,6700
2,3,9300,9300,30000,9300,6700
3,3,9300,9300,30000,9300,6700
4,3,9300,9300,30000,9300,6700
5,3,9300,9300,30000,9300,6700
6,3,9300,9300,30000,9300,6700
7,3,9300,9300,30000,9300,6700
8,3,9300,9300,30000,9300,6700
9,3,9300,9300,30000,9300,6700
10,3,9300,9300,30000,9300,6700
11,3,9300,9300,30000,9300,6700
12,3,9300,9300,30000,9300,6700
1,4,1700,1700,8500,1700,1700
2,4,1700,1700,8500,1700,1700
3,4,1700,1700,8500,1700,1700
4,4,1700,1700,8500,1700,1700
5,4,1700,1700,8500,1700,1700
6,4,1700,1700,8500,1700,1700
7,4,1700,1700,8500,1700,1700
8,4,1700,1700,8500,1700,1700
9,4,1700,1700,8500,1700,1700
10,4,1700,1700,8500,1700,1700
11,4,1700,1700,8500,1700,1700
12,4,1700,1700,8500,1700,1700
1,5,2300,2300,11500,2300,2300
2,5,2300,2300,11500,2300,2300
3,5,2300,2300,11500,2300,2300
4,5,2300,2300,11500,2300,2300
5,5,2300,2300,11500,2300,2300
6,5,2300,2300,11500,2300,2300
7,5,2300,2300,11500,2300,2300
8,5,2301,2301,11500,2301,2300
9,5,4000,4000,11500,4000,2300
10,5,2300,2300,11500,2300,2300
11,5,2300,2300,11500,2300,2300
12,5,2300,2300,11500,2300,2300
1,6,2200,2200,11000,2200,2200
2,6,2200,2200,11000,2200,2200
3,6,2200,2200,11000,2200,2200
4,6,2200,2200,11000,2200,2200
