Month,House,OGSA,Optimised,Preferred
1,1,1882,1882,1500
2,1,1882,1882,1500
3,1,1762,1882,1500
4,1,1972,1882,1500
5,1,1972,1882,1500
6,1,1882,1882,1500
7,1,1762,1882,1500
8,1,1972,1882,1500
9,1,1972,1882,1500
10,1,1972,1882,1500
11,1,1762,1882,1500
12,1,1882,1882,1500
1,2,4700,6552,4000
2,2,7252,6552,4000
3,2,7172,6552,4000
4,2,7252,6552,4000
5,2,7252,6552,4000
6,2,7252,6552,4000
7,2,7252,6552,4000
8,2,7252,6552,4000
9,2,7252,6552,4000
10,2,7252,6552,4000
11,2,7172,6552,4000
12,2,7252,6552,4000
1,3,3571,3583,3500
2,3,3643,3583,3500
3,3,3583,3583,3500
4,3,3643,3583,3500
5,3,3643,3583,3500
6,3,3643,3583,3500
7,3,3571,3583,3500
8,3,3643,3583,3500
9,3,3643,3583,3500
10,3,3643,3632,3500
11,3,3571,3583,3500
12,3,3583,3583,3500
1,4,7200,7200,3600
2,4,8700,8700,3600
3,4,8700,7200,3600
4,4,8715,8700,3600
5,4,8700,8700,3600
6,4,8715,8700,3600
7,4,7215,7200,3600
8,4,8700,8700,3600
9,4,7215,8700,3600
10,4,8700,8700,3600
11,4,7200,7200,3600
12,4,7200,7200,3600
1,5,4050,3050,2300
2,5,4143,3050,2300
3,5,4143,3050,2300
4,5,4143,3050,2300
5,5,4143,3050,2300
6,5,4143,3050,2300
7,5,4143,3050,2300
8,5,4143,3050,2300
9,5,4143,2400,2300
10,5,4143,3050,2300
11,5,4143,3050,2300
12,5,4143,3050,2300
1,6,1068,1004,600
2,6,1127,1059,600
3,6,1123,1059,600
4,6,1123,1059,600
5,6,1127,1059,600
6,6,1127,1059,600
7,6,1072,1004,600
8,6,1123,1059,600
9,6,1072,1059,600
10,6,1127,1059,600
11,6,1123,1004,600
12,6,1123,1059,600
1,7,4300,2875,2300
2,7,4875,4375,2300
3,7,4800,4375,2300
4,7,4875,4375,2300
5,7,4800,4375,2300
6,7,4800,4375,2300
7,7,4300,4375,2300
8,7,4300,4375,2300
9,7,4000,4375,2300
10,7,4300,4375,2300
11,7,4300,2875,2300
12,7,4800,4375,2300
1,8,1380,1380,1330
2,8,2648,1380,1330
3,8,2580,1380,1330
4,8,2648,2530,1330
5,8,2648,2530,1330
6,8,2580,2530,1330
7,8,2580,1380,1330
8,8,2648,2530,1330
9,8,2648,2468,1330
10,8,2580,2530,1330
11,8,2580,1380,1330
12,8,2580,1380,1330
1,9,1020,1820,1000
2,9,1565,1820,1000
3,9,1300,1820,1000
4,9,1865,1820,1000
5,9,1865,1820,1000
6,9,1565,1820,1000
7,9,1820,1820,1000
8,9,1820,1820,1000
9,9,1820,1820,1000
10,9,1865,1820,1000
11,9,1820,1820,1000
12,9,1820,1820,1000
1,10,4900,6600,2300
2,10,8700,6600,2300
3,10,8700,6600,2300
4,10,8700,6600,2300
5,10,8700,6600,2300
6,10,8700,6600,2300
7,10,8700,6600,2300
8,10,8700,6600,2300
9,10,8700,6600,2300
10,10,8700,6600,2300
11,10,6600,6600,2300
12,10,8700,6600,2300
1,11,2000,2015,2000
2,11,2315,2000,2000
3,11,2000,2000,2000
4,11,2300,2300,2000
5,11,2315,2000,2000
6,11,2315,2000,2000
7,11,2000,2000,2000
8,11,2300,2000,2000
9,11,2315,2015,2000
10,11,2315,2300,2000
11,11,2000,2015,2000
12,11,3000,2300,2000
1,12,2706,3006,1500
2,12,3006,3006,1500
3,12,1506,3006,1500
4,12,2706,3006,1500
5,12,2706,3006,1500
6,12,3006,3006,1500
7,12,3006,3006,1500
8,12,3006,3006,1500
9,12,2706,3006,1500
10,12,2706,3006,1500
11,12,2705,3006,1500
12,12,2706,3006,1500
1,13,4500,3335,3200
2,13,4535,4435,3200
3,13,2500,3335,3200
4,13,4535,4435,3200
5,13,4535,4435,3200
6,13,4535,4435,3200
7,13,4500,3335,3200
8,13,4500,4435,3200
9,13,4535,4435,3200
10,13,4535,4435,3200
11,13,4500,3335,3200
12,13,4500,3335,3200
1,14,3310,5710,2408
2,14,5718,5710,2408
3,14,5718,5710,2408
4,14,5718,5710,2408
5,14,5718,5710,2408
6,14,5718,5710,2408
7,14,5710,5710,2408
8,14,5718,5710,2408
9,14,5718,5710,2408
10,14,5718,5710,2408
11,14,5710,5710,2408
12,14,5710,5710,2408
1,15,1140,1210,1000
2,15,2110,1210,1000
3,15,1150,1210,1000
4,15,1210,1210,1000
5,15,2050,1210,1000
6,15,1150,1210,1000
7,15,1210,1210,1000
8,15,1150,1210,1000
9,15,1150,1210,1000
10,15,1150,1210,1000
11,15,2110,1210,1000
12,15,1150,1210,1000
1,16,4350,4650,3600
2,16,4650,4650,3600
3,16,4600,4650,3600
4,16,4650,4650,3600
5,16,4650,4650,3600
6,16,4650,4650,3600
7,16,4650,4650,3600
8,16,4650,4650,3600
9,16,4650,4650,3600
10,16,4650,4650,3600
11,16,4650,4650,3600
12,16,4650,4650,3600
1,17,825,825,600
2,17,825,825,600
3,17,825,825,600
4,17,825,825,600
5,17,825,825,600
6,17,825,825,600
7,17,825,825,600
8,17,825,825,600
9,17,825,825,600
10,17,825,825,600
11,17,825,825,600
12,17,825,825,600
1,18,2750,2715,2400
2,18,2750,2730,2400
3,18,2735,2715,2400
4,18,2750,2730,2400
5,18,2750,2730,2400
6,18,2735,2730,2400
7,18,2750,2715,2400
8,18,2750,2730,2400
9,18,2750,2730,2400
10,18,2750,2730,2400
11,18,2735,2715,2400
12,18,2735,2715,2400
1,19,3504,3549,2200
2,19,3549,3549,2200
3,19,3549,3549,2200
4,19,3549,3549,2200
5,19,3549,3549,2200
6,19,3549,3549,2200
7,19,3549,3549,2200
8,19,3549,3549,2200
9,19,3549,3549,2200
10,19,3549,3549,2200
11,19,3549,3549,2200
12,19,3549,3549,2200
1,20,2502,2554,1200
2,20,2502,2554,1200
3,20,2502,2554,1200
4,20,2554,2554,1200
5,20,2554,2554,1200
6,20,2502,2554,1200
7,20,2502,2554,1200
8,20,2554,2554,1200
9,20,2554,2554,1200
10,20,2502,2554,1200
11,20,2502,2554,1200
12,20,2502,2554,1200
1,21,4200,4200,1500
2,21,5400,4300,1500
3,21,5400,4300,1500
4,21,5400,4300,1500
5,21,5500,4300,1500
6,21,5500,4300,1500
7,21,5400,4200,1500
8,21,5500,4300,1500
9,21,5400,4300,1500
10,21,4300,4300,1500
11,21,5500,4200,1500
12,21,5400,4300,1500
1,22,2449,4600,2400
2,22,4649,4600,2400
3,22,4645,4600,2400
4,22,4649,4600,2400
5,22,4649,4600,2400
6,22,4600,4600,2400
7,22,4645,4600,2400
8,22,4649,4600,2400
9,22,4649,2400,2400
10,22,4649,4600,2400
11,22,2449,4600,2400
12,22,4649,4600,2400
1,23,2780,2833,1500
2,23,2833,2833,1500
3,23,2753,2833,1500
4,23,2833,2833,1500
5,23,2833,2833,1500
6,23,2753,2833,1500
7,23,2753,2833,1500
8,23,2753,2833,1500
9,23,2753,2833,1500
10,23,2753,2833,1500
11,23,2753,2833,1500
12,23,1553,2833,1500
