Month,House,OGSA,Optimised,Preferred
1,1,1210,1382,1056
2,1,1382,1382,1056
3,1,1310,1382,1056
4,1,1438,1382,1056
5,1,1382,1382,1056
6,1,1382,1382,1056
7,1,1282,1382,1056
8,1,1382,1382,1056
9,1,1366,1382,1056
10,1,1382,1382,1056
11,1,1310,1382,1056
12,1,1310,1382,1056
1,2,1030,1100,1000
2,2,1100,1100,1000
3,2,1100,1100,1000
4,2,1100,1100,1000
5,2,1100,1100,1000
6,2,1100,1100,1000
7,2,1115,1100,1000
8,2,1100,1100,1000
9,2,1100,1100,1000
10,2,1100,1100,1000
11,2,1126,1100,1000
12,2,1130,1100,1000
1,3,755,835,810
2,3,820,965,810
3,3,965,835,810
4,3,820,965,810
5,3,835,965,810
6,3,820,965,810
7,3,820,835,810
8,3,820,965,810
9,3,820,965,810
10,3,835,965,810
11,3,1045,835,810
12,3,890,835,810
1,4,2445,2445,2400
2,4,2445,2445,2400
3,4,2520,2445,2400
4,4,2445,2445,2400
5,4,2445,2445,2400
6,4,2445,2445,2400
7,4,2520,2445,2400
8,4,2445,2445,2400
9,4,2445,2445,2400
10,4,2445,2445,2400
11,4,2520,2445,2400
12,4,2520,2445,2400
1,5,2515,2665,2400
2,5,2526,2665,2400
3,5,2665,2665,2400
4,5,2665,2665,2400
5,5,2526,2665,2400
6,5,2526,2665,2400
7,5,2665,2665,2400
8,5,2526,2665,2400
9,5,2526,2665,2400
10,5,2526,2665,2400
11,5,2526,2665,2400
12,5,2526,2665,2400
1,6,810,932,600
2,6,932,932,600
3,6,932,932,600
4,6,932,932,600
5,6,932,932,600
6,6,932,932,600
7,6,932,932,600
8,6,932,932,600
9,6,932,932,600
10,6,932,932,600
11,6,932,932,600
12,6,882,932,600
1,7,3205,2505,2400
2,7,3205,2505,2400
3,7,2505,2505,2400
4,7,2505,2505,2400
5,7,3205,2505,2400
6,7,2505,2505,2400
7,7,2505,2505,2400
8,7,2505,2505,2400
9,7,2505,2505,2400
10,7,2505,2505,2400
11,7,2505,2505,2400
12,7,3205,2505,2400
1,8,2450,2570,2400
2,8,2570,2570,2400
3,8,2570,2651,2400
4,8,2570,2651,2400
5,8,2570,2651,2400
6,8,2570,2651,2400
7,8,2570,2570,2400
8,8,2570,2651,2400
9,8,2570,2651,2400
10,8,2570,2651,2400
11,8,2570,2570,2400
12,8,2570,2651,2400
1,9,2950,4150,3600
2,9,4150,4150,3600
3,9,4150,4150,3600
4,9,4150,4150,3600
5,9,4150,4150,3600
6,9,4150,4150,3600
7,9,4150,4150,3600
8,9,4150,4150,3600
9,9,4150,4150,3600
10,9,4150,4150,3600
11,9,2950,4150,3600
12,9,4150,4150,3600
1,10,6072,6076,6000
2,10,6072,6076,6000
3,10,6114,6076,6000
4,10,6114,6076,6000
5,10,6076,6076,6000
6,10,6072,6076,6000
7,10,12004,6076,6000
8,10,6076,6076,6000
9,10,6072,6076,6000
10,10,6076,6076,6000
11,10,6076,6076,6000
12,10,6114,6076,6000
1,11,3000,3000,2435
2,11,3000,4470,2435
3,11,3000,4470,2435
4,11,3000,4470,2435
5,11,3000,4470,2435
6,11,3000,4470,2435
7,11,3000,4470,2435
8,11,3000,4470,2435
9,11,3000,4470,2435
10,11,3000,4470,2435
11,11,3000,3000,2435
12,11,3000,4470,2435
1,12,2400,2400,2400
2,12,2400,2500,2400
3,12,2400,3000,2400
4,12,2400,3000,2400
5,12,2400,3000,2400
6,12,2400,3000,2400
7,12,2400,3000,2400
8,12,2400,3000,2400
9,12,2400,3000,2400
10,12,2400,3000,2400
11,12,2400,2400,2400
12,12,3322,2500,2400
1,13,1045,1120,1000
2,13,1120,1120,1000
3,13,1045,1120,1000
4,13,1120,1120,1000
5,13,1120,1120,1000
6,13,1120,1090,1000
7,13,1045,1120,1000
8,13,1120,1120,1000
9,13,1120,1090,1000
10,13,1120,1090,1000
11,13,1120,1120,1000
12,13,1045,1120,1000
1,14,3738,7340,3600
2,14,5340,7340,3600
3,14,5338,7340,3600
4,14,7340,7340,3600
5,14,5340,7340,3600
6,14,7338,7340,3600
7,14,3738,7340,3600
8,14,5338,7340,3600
9,14,5340,7340,3600
10,14,5340,7340,3600
11,14,5338,7340,3600
12,14,5340,7340,3600
1,15,1400,1400,700
2,15,765,1435,700
3,15,1430,1435,700
4,15,1400,1435,700
5,15,1400,1435,700
6,15,765,1435,700
7,15,1400,1435,700
8,15,1400,1435,700
9,15,765,1435,700
10,15,765,1435,700
11,15,765,1435,700
12,15,1400,1435,700
1,16,3670,3670,2135
2,16,3670,3670,2135
3,16,3670,3670,2135
4,16,3670,3670,2135
5,16,3670,3670,2135
6,16,3670,3670,2135
7,16,3670,3670,2135
8,16,3670,3670,2135
9,16,3670,3670,2135
10,16,3670,3670,2135
11,16,3670,3670,2135
12,16,3670,3670,2135
1,17,6275,5140,5000
2,17,5215,5075,5000
3,17,5075,5140,5000
4,17,6415,5140,5000
5,17,5075,5140,5000
6,17,5075,5140,5000
7,17,6275,5100,5000
8,17,6275,5140,5000
9,17,5075,5140,5000
10,17,5075,5140,5000
11,17,5315,5100,5000
12,17,5075,5140,5000
1,18,1400,1400,750
2,18,1400,1400,750
3,18,1400,1400,750
4,18,1400,1400,750
5,18,1400,1400,750
6,18,1400,1400,750
7,18,1400,1400,750
8,18,1400,1400,750
9,18,1400,1400,750
10,18,1400,1400,750
11,18,1462,1400,750
12,18,1462,1400,750
1,19,3810,3810,3600
2,19,3810,3810,3600
3,19,3810,3810,3600
4,19,3810,3810,3600
5,19,3810,3810,3600
6,19,3810,3705,3600
7,19,3815,3810,3600
8,19,3810,3810,3600
9,19,3810,3705,3600
10,19,3810,3705,3600
11,19,3815,3810,3600
12,19,3810,3810,3600
1,20,1160,1160,1100
2,20,1760,1760,1100
3,20,1100,1160,1100
4,20,1100,1760,1100
5,20,1160,1760,1100
6,20,1760,1715,1100
7,20,1760,1160,1100
8,20,1160,1760,1100
9,20,1760,1715,1100
10,20,1115,1715,1100
11,20,1760,1160,1100
12,20,1195,1160,1100
1,21,4648,5648,2400
2,21,5648,5648,2400
3,21,5648,5648,2400
4,21,5648,5648,2400
5,21,5648,5648,2400
6,21,5648,5648,2400
7,21,5648,5648,2400
8,21,5648,5648,2400
9,21,5648,5648,2400
10,21,5648,5648,2400
11,21,5648,5648,2400
12,21,5648,5648,2400
1,22,1190,1750,1100
2,22,1205,1940,1100
3,22,1190,1750,1100
4,22,1305,1940,1100
5,22,1750,1940,1100
6,22,1305,1940,1100
7,22,1215,1750,1100
8,22,1750,1940,1100
9,22,1850,1940,1100
10,22,1850,1940,1100
11,22,1850,1750,1100
12,22,1750,1750,1100
1,23,3972,4900,3400
2,23,3972,4900,3400
3,23,4900,4900,3400
4,23,3972,4900,3400
5,23,4900,4900,3400
6,23,3972,4900,3400
7,23,4972,4900,3400
8,23,4972,4900,3400
9,23,4972,4900,3400
10,23,4900,4900,3400
11,23,4300,4900,3400
12,23,3900,4900,3400
1,24,862,807,550
2,24,835,807,550
3,24,907,807,550
4,24,807,807,550
5,24,807,807,550
6,24,807,807,550
7,24,790,807,550
8,24,807,807,550
9,24,807,807,550
10,24,807,862,550
11,24,807,807,550
12,24,835,807,550
1,25,1705,2710,1700
2,25,1705,2710,1700
3,25,2710,2710,1700
4,25,2710,2710,1700
5,25,2710,2710,1700
6,25,1700,2710,1700
7,25,2810,2710,1700
8,25,2710,2710,1700
9,25,1700,2710,1700
10,25,2710,2710,1700
11,25,2710,2710,1700
12,25,2710,2710,1700
1,26,7400,11000,6000
2,26,11000,11000,6000
3,26,11000,11000,6000
4,26,13400,11056,6000
5,26,11000,11056,6000
6,26,8456,11056,6000
7,26,11000,11000,6000
8,26,11000,11056,6000
9,26,8456,11056,6000
10,26,8456,11056,6000
11,26,11000,11000,6000
12,26,13456,11000,6000
1,27,4160,7764,4000
2,27,7764,7764,4000
3,27,4004,7764,4000
4,27,4164,7764,4000
5,27,7764,7764,4000
6,27,7764,7764,4000
7,27,7764,7764,4000
8,27,7764,7764,4000
9,27,7764,7764,4000
10,27,7764,7764,4000
11,27,4004,7764,4000
12,27,4004,7764,4000
1,28,1500,2948,1500
2,28,1600,2948,1500
3,28,1648,2948,1500
4,28,1648,2948,1500
5,28,2948,2948,1500
6,28,1500,2948,1500
7,28,1500,2948,1500
8,28,2938,2948,1500
9,28,2948,2948,1500
10,28,2938,2948,1500
