Month,House,Attribute,0,1,2,3,4
0,1,demands,600,1200,120,5,350
0,1,durations,5,7,3,6,3
0,1,earliest_starts,0,0,0,0,0
0,1,latest_ends,143,143,143,143,143
0,1,care_factors,0,0,0,0,0
0,1,predecessors,-1,-1,-1,-1,-1
0,1,successors,-1,-1,-1,-1,-1
0,1,prec_delays,-1,-1,-1,-1,-1
0,1,preferred_starts,138,134,58,45,28
1,1,astart - ogsa,19,15,16,16,15
1,1,astart - Gecode,15,15,15,15,15
1,1,astart - Gurobi,19,17,15,18,21
2,1,astart - ogsa,6,6,6,6,6
2,1,astart - Gecode,6,6,6,6,6
2,1,astart - Gurobi,6,6,6,6,6
3,1,astart - ogsa,16,14,16,15,18
3,1,astart - Gecode,15,14,15,15,15
3,1,astart - Gurobi,16,15,15,15,18
4,1,astart - ogsa,20,19,21,20,21
4,1,astart - Gecode,19,18,21,18,21
4,1,astart - Gurobi,21,20,21,21,21
5,1,astart - ogsa,21,20,21,21,21
5,1,astart - Gecode,21,20,21,21,21
5,1,astart - Gurobi,21,20,21,21,21
6,1,astart - ogsa,22,20,24,21,24
6,1,astart - Gecode,22,20,24,21,24
6,1,astart - Gurobi,22,20,24,21,24
7,1,astart - ogsa,18,18,19,18,20
7,1,astart - Gecode,18,18,18,18,18
7,1,astart - Gurobi,19,18,18,18,21
8,1,astart - ogsa,23,23,24,22,24
8,1,astart - Gecode,22,21,24,21,24
8,1,astart - Gurobi,24,23,24,24,24
9,1,astart - ogsa,25,23,27,24,27
9,1,astart - Gecode,25,23,27,24,27
9,1,astart - Gurobi,25,23,27,24,27
10,1,astart - ogsa,19,17,21,18,21
10,1,astart - Gecode,19,17,21,18,21
10,1,astart - Gurobi,19,17,21,18,21
11,1,astart - ogsa,10,9,10,9,11
11,1,astart - Gecode,9,9,9,9,9
11,1,astart - Gurobi,10,9,9,9,12
12,1,astart - ogsa,15,15,18,15,16
12,1,astart - Gecode,15,14,15,15,15
12,1,astart - Gurobi,16,15,15,15,18
0,2,demands,72,100,38,6000,1200
0,2,durations,4,5,1,5,2
0,2,earliest_starts,0,0,0,0,0
0,2,latest_ends,143,143,143,143,143
0,2,care_factors,0,0,0,0,0
0,2,predecessors,0,0,-1,-1,-1
0,2,successors,2,3,-1,-1,-1
0,2,prec_delays,32,11,-1,-1,-1
0,2,preferred_starts,6,128,95,29,18
1,2,astart - ogsa,20,15,24,24,15
1,2,astart - Gecode,15,15,19,19,15
1,2,astart - Gurobi,15,19,23,19,22
2,2,astart - ogsa,6,6,17,15,7
2,2,astart - Gecode,2,6,6,6,6
2,2,astart - Gurobi,2,6,8,6,7
3,2,astart - ogsa,15,15,20,19,15
3,2,astart - Gecode,12,15,16,16,15
3,2,astart - Gurobi,12,16,20,16,19
4,2,astart - ogsa,21,21,25,25,21
4,2,astart - Gecode,17,19,21,21,21
4,2,astart - Gurobi,17,21,23,21,22
5,2,astart - ogsa,21,21,25,25,22
5,2,astart - Gecode,17,21,21,21,21
5,2,astart - Gurobi,17,21,23,21,22
6,2,astart - ogsa,23,22,27,27,25
6,2,astart - Gecode,18,22,24,22,24
6,2,astart - Gurobi,18,22,26,22,25
7,2,astart - ogsa,20,19,26,24,20
7,2,astart - Gecode,15,18,19,19,18
7,2,astart - Gurobi,15,19,23,19,22
8,2,astart - ogsa,23,23,28,27,24
8,2,astart - Gecode,20,22,24,24,24
8,2,astart - Gurobi,20,24,26,24,25
9,2,astart - ogsa,26,25,31,30,28
9,2,astart - Gecode,17,25,27,25,27
9,2,astart - Gurobi,17,25,29,25,28
10,2,astart - ogsa,20,19,26,24,21
10,2,astart - Gecode,15,19,21,19,21
10,2,astart - Gurobi,15,19,23,19,22
11,2,astart - ogsa,10,10,14,14,9
11,2,astart - Gecode,6,9,10,10,9
11,2,astart - Gurobi,6,10,14,10,13
12,2,astart - ogsa,17,15,23,21,19
12,2,astart - Gecode,12,15,16,16,15
12,2,astart - Gurobi,12,16,20,16,19
0,3,demands,1700,50,90,1000,1500
0,3,durations,2,1,5,3,2
0,3,earliest_starts,0,0,0,0,0
0,3,latest_ends,143,143,143,143,143
0,3,care_factors,0,0,0,0,0
0,3,predecessors,0,-1,-1,-1,-1
0,3,successors,3,-1,-1,-1,-1
0,3,prec_delays,37,-1,-1,-1,-1
0,3,preferred_starts,27,74,13,38,9
1,3,astart - ogsa,20,17,15,22,20
1,3,astart - Gecode,15,15,15,17,15
1,3,astart - Gurobi,19,23,19,21,22
2,3,astart - ogsa,7,7,6,15,6
2,3,astart - Gecode,6,6,6,8,6
2,3,astart - Gurobi,6,8,6,8,7
3,3,astart - ogsa,15,17,16,17,18
3,3,astart - Gecode,15,15,15,17,15
3,3,astart - Gurobi,16,20,16,18,19
4,3,astart - ogsa,21,21,19,23,22
4,3,astart - Gecode,21,21,19,23,21
4,3,astart - Gurobi,21,23,21,23,22
5,3,astart - ogsa,22,23,21,24,22
5,3,astart - Gecode,21,21,21,23,21
5,3,astart - Gurobi,21,23,21,23,22
6,3,astart - ogsa,25,25,22,27,24
6,3,astart - Gecode,18,24,22,24,24
6,3,astart - Gurobi,22,26,22,24,25
7,3,astart - ogsa,20,19,18,22,20
7,3,astart - Gecode,18,18,18,20,18
7,3,astart - Gurobi,19,23,19,21,22
8,3,astart - ogsa,24,24,23,26,24
8,3,astart - Gecode,24,24,22,26,24
8,3,astart - Gurobi,24,26,24,26,25
9,3,astart - ogsa,27,28,25,29,27
9,3,astart - Gecode,18,27,25,27,27
9,3,astart - Gurobi,25,29,25,27,28
10,3,astart - ogsa,21,23,19,23,21
10,3,astart - Gecode,15,21,19,21,21
10,3,astart - Gurobi,16,23,19,21,22
11,3,astart - ogsa,9,9,10,11,13
11,3,astart - Gecode,9,9,9,11,9
11,3,astart - Gurobi,10,14,10,12,13
12,3,astart - ogsa,19,19,16,21,15
12,3,astart - Gecode,15,15,15,17,15
12,3,astart - Gurobi,16,20,16,18,19
0,4,demands,100,5,3600,1200,1100
0,4,durations,6,3,1,5,1
0,4,earliest_starts,0,0,0,0,0
0,4,latest_ends,143,143,143,143,143
0,4,care_factors,0,0,0,0,0
0,4,predecessors,1,2,3,-1,-1
0,4,successors,2,3,4,-1,-1
0,4,prec_delays,39,132,44,-1,-1
0,4,preferred_starts,90,13,23,29,44
1,4,astart - ogsa,18,20,23,24,29
1,4,astart - Gecode,15,14,17,18,23
1,4,astart - Gurobi,18,14,17,18,23
2,4,astart - ogsa,6,6,17,19,24
2,4,astart - Gecode,6,3,6,7,15
2,4,astart - Gurobi,6,3,6,7,17
3,4,astart - ogsa,15,15,19,20,25
3,4,astart - Gecode,15,12,15,16,21
3,4,astart - Gurobi,15,12,15,16,23
4,4,astart - ogsa,19,21,24,25,32
4,4,astart - Gecode,18,17,20,21,26
4,4,astart - Gurobi,21,17,20,21,26
5,4,astart - ogsa,21,21,24,25,32
5,4,astart - Gecode,21,18,21,22,27
5,4,astart - Gurobi,21,18,21,22,29
6,4,astart - ogsa,21,24,27,28,34
6,4,astart - Gecode,21,17,20,21,26
6,4,astart - Gurobi,21,17,20,21,26
7,4,astart - ogsa,18,20,23,24,29
7,4,astart - Gecode,18,15,18,19,24
7,4,astart - Gurobi,18,15,18,19,26
8,4,astart - ogsa,24,24,29,30,35
8,4,astart - Gecode,21,20,23,24,29
8,4,astart - Gurobi,24,20,23,24,29
9,4,astart - ogsa,24,27,31,73,87
9,4,astart - Gecode,24,17,20,24,29
9,4,astart - Gurobi,24,17,20,24,29
10,4,astart - ogsa,18,21,26,75,80
10,4,astart - Gecode,18,14,17,18,23
10,4,astart - Gurobi,18,14,17,18,23
11,4,astart - ogsa,9,12,17,18,23
11,4,astart - Gecode,9,6,9,10,15
11,4,astart - Gurobi,9,6,9,10,17
