Month,House,OGSA,Optimised,Preferred
1,1,1282,1297,1200
2,1,1297,1297,1200
3,1,1282,1297,1200
4,1,1297,1297,1200
5,1,1297,1297,1200
6,1,1297,1297,1200
7,1,1282,1297,1200
8,1,1297,1297,1200
9,1,1297,1297,1200
10,1,1297,1297,1200
11,1,1282,1297,1200
12,1,1297,1297,1200
1,2,6127,6123,6001
2,2,6127,6123,6001
3,2,6127,6123,6001
4,2,6127,6123,6001
5,2,6127,6123,6001
6,2,6127,6126,6001
7,2,6123,6123,6001
8,2,6127,6123,6001
9,2,6127,6126,6001
10,2,6127,6126,6001
11,2,6123,6123,6001
12,2,6127,6123,6001
1,3,19000,15000,6000
2,3,15000,15000,6000
3,3,19000,15000,6000
4,3,15000,15000,6000
5,3,19000,15000,6000
6,3,19000,15000,6000
7,3,18400,15000,6000
8,3,15000,15000,6000
9,3,19000,15000,6000
10,3,19000,15000,6000
11,3,19000,15000,6000
12,3,18400,15000,6000
1,4,2853,3753,2060
2,4,3053,3753,2060
3,4,3753,3753,2060
4,4,3753,3753,2060
5,4,3753,3753,2060
6,4,3053,3753,2060
7,4,2853,3753,2060
8,4,3053,3753,2060
9,4,3753,3753,2060
10,4,3753,3753,2060
11,4,3753,3753,2060
12,4,3053,3753,2060
1,5,2487,2537,2400
2,5,2537,2537,2400
3,5,2537,2537,2400
4,5,2537,2537,2400
5,5,2537,2537,2400
6,5,2537,2537,2400
7,5,2537,2537,2400
8,5,2537,2537,2400
9,5,2537,2537,2400
10,5,2537,2537,2400
11,5,2487,2537,2400
12,5,2537,2537,2400
1,6,560,562,560
2,6,667,562,560
3,6,667,562,560
4,6,667,562,560
5,6,667,562,560
6,6,667,560,560
7,6,667,562,560
8,6,667,562,560
9,6,667,562,560
10,6,667,560,560
11,6,667,562,560
12,6,667,562,560
1,7,2118,2068,2000
2,7,2268,2263,2000
3,7,2268,2068,2000
4,7,2313,2263,2000
5,7,2313,2263,2000
6,7,2313,2263,2000
7,7,2313,2068,2000
8,7,2268,2263,2000
9,7,2268,2263,2000
10,7,2313,2263,2000
11,7,2118,2068,2000
12,7,2268,2068,2000
1,8,7777,7511,4011
2,8,4277,4277,4011
3,8,4277,4277,4011
4,8,4277,4277,4011
5,8,7721,7721,4011
6,8,7777,7777,4011
7,8,4277,4277,4011
8,8,7777,7721,4011
9,8,4277,4277,4011
10,8,4277,4277,4011
11,8,4277,4277,4011
12,8,7721,7511,4011
1,9,6246,6308,4001
2,9,6308,6308,4001
3,9,6308,6308,4001
4,9,6308,6308,4001
5,9,6308,6308,4001
6,9,6308,6308,4001
7,9,6308,6308,4001
8,9,6308,6308,4001
9,9,6308,6308,4001
10,9,6308,6308,4001
11,9,6308,6308,4001
12,9,6308,6308,4001
1,10,6051,6000,6000
