Month,House,Attribute,0,1,2,3,4
0,1,demands,20,2400,50,210,700
0,1,durations,5,3,8,1,3
0,1,earliest_starts,0,0,0,0,0
0,1,latest_ends,143,143,143,143,143
0,1,care_factors,2500,2000,5000,4000,0
0,1,predecessors,1,0,1,-1,-1
0,1,successors,2,3,4,-1,-1
0,1,prec_delays,44,118,41,-1,-1
0,1,preferred_starts,75,7,99,109,112
1,1,astart - ogsa,75,9,56,109,21
1,1,astart - Gecode,75,21,68,109,24
1,1,astart - Gurobi,75,21,68,109,24
2,1,astart - ogsa,75,6,53,109,15
2,1,astart - Gecode,75,6,53,109,15
2,1,astart - Gurobi,75,6,53,109,15
0,2,demands,100,650,500,600,3600
0,2,durations,2,3,2,3,1
0,2,earliest_starts,0,0,0,0,0
0,2,latest_ends,143,143,143,143,143
0,2,care_factors,1500,5000,4500,3000,3500
0,2,predecessors,3,-1,-1,-1,-1
0,2,successors,4,-1,-1,-1,-1
0,2,prec_delays,24,-1,-1,-1,-1
0,2,preferred_starts,110,63,45,11,61
1,2,astart - ogsa,110,60,45,11,23
1,2,astart - Gecode,110,60,45,11,23
1,2,astart - Gurobi,110,60,45,11,23
2,2,astart - ogsa,110,63,45,6,23
2,2,astart - Gecode,110,63,45,6,23
2,2,astart - Gurobi,110,63,45,6,23
0,3,demands,2200,700,15,1000,2200
0,3,durations,7,7,2,2,3
0,3,earliest_starts,0,0,0,0,0
0,3,latest_ends,143,143,143,143,143
0,3,care_factors,500,2000,3000,4000,1000
0,3,predecessors,0,-1,-1,-1,-1
0,3,successors,1,-1,-1,-1,-1
0,3,prec_delays,86,-1,-1,-1,-1
0,3,preferred_starts,0,80,55,127,72
1,3,astart - ogsa,15,22,55,129,21
1,3,astart - Gecode,13,20,55,129,21
1,3,astart - Gurobi,13,20,55,129,21
2,3,astart - ogsa,6,17,55,128,6
2,3,astart - Gecode,6,17,55,127,6
2,3,astart - Gurobi,6,17,55,129,6
