Month,House,Limit,OGSA,Optimised,Preferred
1,1,1500,651,576,300
2,1,1500,651,351,300
3,1,1500,651,576,300
4,1,1500,651,576,300
5,1,1500,651,576,300
6,1,1500,651,576,300
7,1,1500,651,576,300
8,1,1500,651,576,300
9,1,1500,651,576,300
10,1,1500,651,576,300
11,1,1500,651,576,300
12,1,1500,651,576,300
1,2,18000,4750,7038,3600
2,2,18000,7188,7150,3600
3,2,18000,7000,7038,3600
4,2,18000,4788,7150,3600
5,2,18000,4788,7150,3600
6,2,18000,4788,7038,3600
7,2,18000,4750,7038,3600
8,2,18000,7188,7150,3600
9,2,18000,7188,7038,3600
10,2,18000,7188,7150,3600
11,2,18000,7188,7038,3600
12,2,18000,4750,7038,3600
1,3,10500,2565,2465,2100
2,3,10500,2695,2450,2100
3,3,10500,2695,2565,2100
4,3,10500,2695,2565,2100
5,3,10500,2695,2565,2100
6,3,10500,2695,2565,2100
7,3,10500,2695,2465,2100
8,3,10500,2695,2565,2100
9,3,10500,2695,2565,2100
10,3,10500,2695,2565,2100
11,3,10500,2695,2465,2100
12,3,10500,2695,2565,2100
1,4,11000,3195,3495,2200
2,4,11000,4395,4395,2200
3,4,11000,3195,3495,2200
4,4,11000,4395,4395,2200
5,4,11000,4395,4395,2200
6,4,11000,4395,4395,2200
7,4,11000,4395,3495,2200
8,4,11000,4395,4395,2200
9,4,11000,4395,4395,2200
10,4,11000,4395,4395,2200
11,4,11000,3495,3495,2200
12,4,11000,3402,3495,2200
1,5,18000,3740,3600,3600
2,5,18000,4380,4380,3600
3,5,18000,4380,3740,3600
4,5,18000,4380,4380,3600
5,5,18000,4380,4380,3600
6,5,18000,4380,4380,3600
7,5,18000,4290,3740,3600
8,5,18000,4380,4380,3600
9,5,18000,4380,4380,3600
10,5,18000,4380,4380,3600
11,5,18000,4240,3740,3600
12,5,18000,4290,3740,3600
1,6,12000,2415,2415,2400
2,6,12000,2535,2415,2400
3,6,12000,2405,2415,2400
4,6,12000,2535,2415,2400
5,6,12000,2535,2415,2400
6,6,12000,2535,2415,2400
7,6,12000,2535,2405,2400
8,6,12000,2535,2415,2400
9,6,12000,2535,2415,2400
10,6,12000,2535,2415,2400
11,6,12000,2415,2405,2400
12,6,12000,2415,2415,2400
1,7,18000,5920,7800,3600
2,7,18000,5920,7920,3600
3,7,18000,7920,7920,3600
4,7,18000,5920,7920,3600
5,7,18000,7920,7920,3600
6,7,18000,5920,7920,3600
7,7,18000,5920,7920,3600
8,7,18000,5920,7920,3600
9,7,18000,7920,7920,3600
10,7,18000,7920,7920,3600
11,7,18000,5720,7920,3600
12,7,18000,5920,7920,3600
1,8,5000,2268,2368,1000
2,8,5000,2368,2368,1000
3,8,5000,2368,2368,1000
4,8,5000,2368,2368,1000
5,8,5000,2368,2368,1000
