Month,House,OGSA,Optimised,Preferred
1,1,1048,1048,900
2,1,1113,1098,900
3,1,1113,1098,900
4,1,1113,1098,900
1,2,3505,3500,3500
2,2,3605,3505,3500
3,2,3550,3505,3500
4,2,3555,3505,3500
1,3,600,600,600
2,3,750,750,600
3,3,750,600,600
4,3,750,600,600
1,4,1480,1350,1200
2,4,1430,1430,1200
3,4,1430,1430,1200
4,4,1430,1430,1200
