Month,House,Gecode,Gurobi,Limit,OGSA,Preferred
1,1,3600,3600,12000,3600,2400
2,1,2400,2400,12000,3600,2400
3,1,2400,2400,12000,2400,2400
4,1,2400,2400,12000,3600,2400
5,1,2400,2400,12000,3600,2400
6,1,2400,2400,12000,4000,2400
7,1,2400,2400,12000,3600,2400
8,1,3600,3600,12000,3600,2400
9,1,2400,2400,12000,3600,2400
10,1,2400,2400,12000,4000,2400
11,1,2400,2400,12000,3600,2400
12,1,2400,2400,12000,3600,2400
1,2,6000,6000,30000,7000,6000
2,2,6000,6000,30000,6000,6000
3,2,6000,6000,30000,7000,6000
4,2,6000,6000,30000,7000,6000
5,2,6000,6000,30000,6000,6000
6,2,6000,6000,30000,6000,6000
7,2,6000,6000,30000,6000,6000
8,2,6000,6000,30000,6000,6000
9,2,6000,6000,30000,6000,6000
10,2,6000,6000,30000,6000,6000
11,2,6000,6000,30000,6000,6000
12,2,6000,6000,30000,6045,6000
1,3,3600,3600,18000,3600,3600
2,3,3600,3600,18000,3600,3600
3,3,3600,3600,18000,3600,3600
4,3,3600,3600,18000,3600,3600
5,3,3600,3600,18000,3600,3600
6,3,3600,3600,18000,3600,3600
7,3,3600,3600,18000,3600,3600
8,3,3600,3600,18000,3600,3600
9,3,3600,3600,18000,3600,3600
10,3,3600,3600,18000,3600,3600
11,3,3600,3600,18000,3600,3600
12,3,3600,3600,18000,3600,3600
1,4,1000,1000,4500,1000,900
2,4,900,900,4500,900,900
3,4,900,900,4500,900,900
4,4,900,900,4500,900,900
5,4,900,900,4500,900,900
6,4,900,900,4500,900,900
7,4,900,900,4500,900,900
8,4,1000,1000,4500,1000,900
9,4,1000,1000,4500,1000,900
10,4,900,900,4500,900,900
11,4,900,900,4500,900,900
12,4,900,900,4500,900,900
1,5,150,150,750,150,150
2,5,205,205,750,150,150
3,5,150,150,750,150,150
4,5,150,150,750,150,150
5,5,150,150,750,150,150
6,5,158,158,750,150,150
7,5,158,158,750,150,150
8,5,150,150,750,150,150
9,5,150,150,750,150,150
10,5,150,150,750,150,150
11,5,158,158,750,150,150
12,5,150,150,750,150,150
1,6,1500,1500,5000,1500,1500
2,6,1500,1500,5000,1500,1500
3,6,1500,1500,5000,1500,1500
4,6,1500,1500,5000,1500,1500
5,6,1500,1500,5000,1500,1500
6,6,1000,1000,5000,1000,1500
7,6,1500,1500,5000,1500,1500
8,6,1500,1500,5000,1500,1500
9,6,1000,1000,5000,1000,1500
10,6,1500,1500,5000,1500,1500
11,6,1500,1500,5000,1500,1500
12,6,1500,1500,5000,1500,1500
1,7,2300,2700,11500,2300,2300
2,7,2300,2300,11500,2300,2300
3,7,2300,2700,11500,2300,2300
4,7,2300,2700,11500,2700,2300
5,7,2700,2700,11500,2700,2300
6,7,2700,2700,11500,2700,2300
7,7,2300,2700,11500,2300,2300
8,7,2300,2700,11500,2700,2300
9,7,2700,2700,11500,2700,2300
10,7,2700,2700,11500,2700,2300
11,7,2300,2700,11500,2700,2300
12,7,2300,2700,11500,2300,2300
1,8,2415,2415,12000,2415,2400
2,8,2415,2415,12000,2415,2400
3,8,2415,2415,12000,2415,2400
4,8,2415,2415,12000,2415,2400
5,8,2415,2415,12000,2415,2400
6,8,2415,2415,12000,2415,2400
7,8,2415,2415,12000,2415,2400
8,8,2415,2415,12000,2415,2400
9,8,2415,2415,12000,2415,2400
10,8,2415,2415,12000,2415,2400
11,8,2415,2415,12000,2415,2400
12,8,2415,2415,12000,2415,2400
1,9,6000,6000,30000,6000,6090
2,9,6000,6000,30000,6000,6090
3,9,6000,6000,30000,6000,6090
4,9,6000,6000,30000,6000,6090
5,9,6000,6000,30000,6000,6090
6,9,6000,6000,30000,6000,6090
7,9,6000,6000,30000,6000,6090
8,9,6090,6090,30000,6090,6090
9,9,6090,6090,30000,6090,6090
10,9,6000,6000,30000,6000,6090
11,9,6000,6000,30000,6000,6090
12,9,6000,6000,30000,6000,6090
1,10,2400,2400,12000,2772,2772
2,10,2772,2772,12000,2772,2772
3,10,2400,2400,12000,2700,2772
4,10,2400,2400,12000,2700,2772
5,10,2400,2400,12000,2400,2772
6,10,2400,2400,12000,2400,2772
7,10,2400,2400,12000,2400,2772
8,10,2400,2400,12000,2400,2772
9,10,2400,2400,12000,2700,2772
10,10,2400,2400,12000,2400,2772
11,10,2772,2772,12000,2772,2772
12,10,2400,2400,12000,2772,2772
1,11,1000,1000,5000,1000,1000
2,11,1000,1000,5000,1000,1000
3,11,1000,1000,5000,1000,1000
4,11,1000,1000,5000,1000,1000
5,11,1000,1000,5000,1000,1000
6,11,1000,1000,5000,1000,1000
7,11,1000,1000,5000,1000,1000
8,11,1000,1000,5000,1000,1000
9,11,1000,1000,5000,1000,1000
10,11,1000,1000,5000,1000,1000
11,11,1000,1000,5000,1000,1000
12,11,1000,1000,5000,1000,1000
1,12,650,650,3250,650,650
2,12,650,650,3250,650,650
3,12,650,650,3250,650,650
4,12,650,650,3250,650,650
5,12,650,650,3250,650,650
6,12,650,650,3250,650,650
7,12,650,650,3250,650,650
8,12,650,650,3250,650,650
9,12,650,650,3250,650,650
10,12,650,650,3250,650,650
11,12,650,650,3250,650,650
12,12,650,650,3250,650,650
1,13,3600,3600,12000,2400,2435
2,13,3600,3600,12000,2400,2435
3,13,2400,2400,12000,2400,2435
4,13,3600,3600,12000,2435,2435
5,13,2400,2400,12000,2435,2435
6,13,3600,3600,12000,2400,2435
7,13,3600,3600,12000,2400,2435
8,13,3600,3600,12000,2435,2435
9,13,2435,2435,12000,2435,2435
10,13,2435,2435,12000,2435,2435
11,13,2435,2435,12000,2435,2435
12,13,3600,3600,12000,2400,2435
1,14,1000,1000,5000,1000,1000
2,14,1048,1048,5000,1048,1000
3,14,1000,1000,5000,1000,1000
4,14,1000,1000,5000,1000,1000
5,14,1000,1000,5000,1000,1000
6,14,1000,1000,5000,1000,1000
7,14,1000,1000,5000,1000,1000
8,14,1000,1000,5000,1000,1000
9,14,1000,1000,5000,1000,1000
10,14,1000,1000,5000,1000,1000
11,14,1000,1000,5000,1000,1000
12,14,1000,1000,5000,1000,1000
1,15,1900,1900,6000,1900,1200
2,15,1900,1900,6000,1900,1200
3,15,1900,1900,6000,1900,1200
4,15,1900,1900,6000,1900,1200
5,15,1900,1900,6000,1900,1200
6,15,1900,1900,6000,1900,1200
7,15,1900,1900,6000,1900,1200
