Month,House,Limit,OGSA,Optimised,Preferred
6,20,12000,3318,2610,2400
7,20,12000,3100,2618,2400
8,20,12000,3318,2618,2400
9,20,12000,3310,2400,2400
10,20,12000,3318,2610,2400
11,20,12000,3310,2618,2400
12,20,12000,3310,2618,2400
1,21,20000,4004,4104,4000
2,21,20000,4434,4220,4000
3,21,20000,4434,4220,4000
4,21,20000,4434,4220,4000
5,21,20000,4434,4220,4000
6,21,20000,4434,4220,4000
7,21,20000,4220,4220,4000
8,21,20000,4434,4220,4000
9,21,20000,4434,4220,4000
10,21,20000,4434,4220,4000
11,21,20000,4224,4220,4000
12,21,20000,4434,4220,4000
1,22,12000,3962,6062,2400
2,22,12000,6362,6362,2400
3,22,12000,5162,6062,2400
4,22,12000,6362,6362,2400
5,22,12000,6362,6362,2400
6,22,12000,6362,6362,2400
7,22,12000,6300,6062,2400
8,22,12000,6362,6362,2400
9,22,12000,6362,6362,2400
10,22,12000,6362,6362,2400
11,22,12000,6362,6062,2400
12,22,12000,5162,6062,2400
1,23,12000,4820,4705,2400
2,23,12000,4825,4705,2400
3,23,12000,4825,4705,2400
4,23,12000,4825,4705,2400
5,23,12000,4825,4705,2400
6,23,12000,4825,4705,2400
7,23,12000,4825,4705,2400
8,23,12000,4825,4705,2400
9,23,12000,4825,4705,2400
10,23,12000,4825,4705,2400
11,23,12000,4825,4705,2400
12,23,12000,4825,4705,2400
1,24,25000,7100,9500,7400
2,24,25000,10050,10050,7400
3,24,25000,10050,10050,7400
4,24,25000,10050,10050,7400
5,24,25000,10050,10050,7400
6,24,25000,10050,10050,7400
7,24,25000,10050,10050,7400
8,24,25000,10050,10050,7400
9,24,25000,10050,10050,7400
10,24,25000,10050,10050,7400
11,24,25000,10050,10050,7400
12,24,25000,10050,10050,7400
1,25,500,120,110,100
2,25,500,125,120,100
3,25,500,125,110,100
4,25,500,125,110,100
5,25,500,125,160,100
6,25,500,125,110,100
7,25,500,125,160,100
8,25,500,125,110,100
9,25,500,125,110,100
10,25,500,125,110,100
11,25,500,125,120,100
12,25,500,180,110,100
1,26,30000,7316,7315,6000
2,26,30000,7316,7315,6000
3,26,30000,7316,7315,6000
4,26,30000,7316,7315,6000
5,26,30000,7316,7315,6000
6,26,30000,7316,7315,6000
7,26,30000,7316,7315,6000
8,26,30000,7316,7315,6000
9,26,30000,7316,7315,6000
10,26,30000,7316,7315,6000
11,26,30000,7316,7315,6000
12,26,30000,7316,7315,6000
1,27,6000,1327,1276,1200
2,27,6000,1327,1327,1200
3,27,6000,1327,1276,1200
4,27,6000,1332,1327,1200
5,27,6000,1327,1327,1200
6,27,6000,1332,1327,1200
7,27,6000,1327,1276,1200
8,27,6000,1332,1327,1200
9,27,6000,1332,1327,1200
10,27,6000,1327,1327,1200
11,27,6000,1327,1276,1200
12,27,6000,1312,1276,1200
1,28,12000,5255,3100,2400
2,28,12000,5605,4555,2400
3,28,12000,5605,3155,2400
4,28,12000,5605,3155,2400
5,28,12000,5605,4555,2400
6,28,12000,5605,3155,2400
7,28,12000,5255,3155,2400
8,28,12000,5605,3155,2400
9,28,12000,5605,3155,2400
10,28,12000,5605,3155,2400
11,28,12000,5255,4555,2400
12,28,12000,5605,3155,2400
1,29,3000,2300,1950,850
2,29,3000,2300,2000,850
3,29,3000,2300,2000,850
4,29,3000,2300,1950,850
5,29,3000,2300,1950,850
6,29,3000,2300,1950,850
7,29,3000,2300,2000,850
8,29,3000,2300,1950,850
9,29,3000,2300,1950,850
10,29,3000,2300,1950,850
11,29,3000,2300,2000,850
12,29,3000,2300,2000,850
1,30,340,84,72,68
2,30,340,86,87,68
3,30,340,68,72,68
4,30,340,86,87,68
5,30,340,87,87,68
6,30,340,87,87,68
7,30,340,86,72,68
8,30,340,87,87,68
9,30,340,87,87,68
10,30,340,86,87,68
11,30,340,86,72,68
12,30,340,71,72,68
1,31,6000,1385,2400,1200
2,31,6000,2440,2435,1200
3,31,6000,1390,2435,1200
4,31,6000,2590,2435,1200
5,31,6000,2440,2435,1200
6,31,6000,2440,2435,1200
7,31,6000,1390,2435,1200
8,31,6000,2440,2435,1200
9,31,6000,2585,2435,1200
10,31,6000,2590,2435,1200
11,31,6000,2435,2435,1200
12,31,6000,2440,2435,1200
1,32,6000,2369,2200,2200
2,32,6000,2369,2358,2200
3,32,6000,2369,2358,2200
4,32,6000,2369,2358,2200
5,32,6000,2369,2358,2200
6,32,6000,2369,2358,2200
7,32,6000,2369,2358,2200
8,32,6000,2369,2358,2200
9,32,6000,2369,2358,2200
10,32,6000,2369,2358,2200
11,32,6000,2369,2358,2200
12,32,6000,2369,2358,2200
1,33,30000,7200,7116,6000
2,33,30000,7216,7116,6000
3,33,30000,7205,7116,6000
4,33,30000,7216,7116,6000
5,33,30000,7216,7116,6000
6,33,30000,7216,7116,6000
7,33,30000,7205,7116,6000
8,33,30000,7216,7116,6000
9,33,30000,7216,7116,6000
10,33,30000,7216,7116,6000
11,33,30000,7216,7116,6000
12,33,30000,7211,7116,6000
1,34,25000,5000,5000,5000
2,34,25000,5000,5000,5000
3,34,25000,5000,5000,5000
4,34,25000,5000,5000,5000
5,34,25000,5000,5000,5000
6,34,25000,5000,5000,5000
7,34,25000,5000,5000,5000
8,34,25000,5000,5000,5000
9,34,25000,5000,5000,5000
10,34,25000,5000,5000,5000
11,34,25000,5000,5000,5000
12,34,25000,5000,5000,5000
1,35,25000,5319,5300,5000
2,35,25000,5320,5301,5000
3,35,25000,5319,5301,5000
4,35,25000,5320,5301,5000
5,35,25000,5320,5301,5000
6,35,25000,5320,5301,5000
7,35,25000,5319,5301,5000
8,35,25000,5320,5301,5000
9,35,25000,5320,5301,5000
10,35,25000,5320,5301,5000
11,35,25000,5320,5301,5000
12,35,25000,5319,5301,5000
1,36,7500,2448,2748,1500
2,36,7500,3948,3948,1500
3,36,7500,3948,2748,1500
4,36,7500,3948,3948,1500
5,36,7500,2848,3948,1500
6,36,7500,3948,3948,1500
7,36,7500,2848,2748,1500
8,36,7500,3948,3948,1500
9,36,7500,3958,3948,1500
10,36,7500,3958,3948,1500
11,36,7500,3948,2748,1500
12,36,7500,2858,2748,1500
1,37,6000,2035,2035,1200
2,37,6000,2035,2035,1200
3,37,6000,2035,2035,1200
4,37,6000,2035,2035,1200
5,37,6000,2035,2035,1200
6,37,6000,2035,2035,1200
7,37,6000,2035,2035,1200
8,37,6000,2035,2035,1200
9,37,6000,2035,2035,1200
10,37,6000,2035,2035,1200
11,37,6000,2035,2035,1200
12,37,6000,2035,2035,1200
1,38,30000,9400,8400,6000
2,38,30000,9445,9400,6000
3,38,30000,9445,9400,6000
4,38,30000,8400,7015,6000
5,38,30000,9445,9400,6000
6,38,30000,9445,9400,6000
7,38,30000,8415,9400,6000
8,38,30000,8415,9400,6000
9,38,30000,7045,7015,6000
10,38,30000,9445,9400,6000
11,38,30000,8415,9400,6000
12,38,30000,9400,9400,6000
1,39,30000,6100,7900,6000
2,39,30000,8000,7900,6000
3,39,30000,7400,7900,6000
4,39,30000,7400,7900,6000
5,39,30000,8000,7900,6000
6,39,30000,7900,7900,6000
7,39,30000,6700,7900,6000
8,39,30000,7300,7900,6000
9,39,30000,7300,7900,6000
10,39,30000,8000,7900,6000
11,39,30000,7300,7900,6000
12,39,30000,6800,7900,6000
1,40,12000,5900,4800,2400
2,40,12000,5900,5400,2400
3,40,12000,5900,5400,2400
4,40,12000,5900,5400,2400
5,40,12000,5900,5400,2400
6,40,12000,5900,5400,2400
7,40,12000,5400,5400,2400
8,40,12000,6000,5400,2400
9,40,12000,7100,6600,2400
10,40,12000,7100,6600,2400
11,40,12000,5900,5400,2400
12,40,12000,5900,5400,2400
1,41,10500,4204,4344,2104
2,41,10500,4344,4344,2104
3,41,10500,4200,4344,2104
4,41,10500,5344,4344,2104
5,41,10500,5344,4344,2104
6,41,10500,4344,4344,2104
7,41,10500,4340,4344,2104
8,41,10500,5344,4344,2104
9,41,10500,4344,4344,2104
10,41,10500,5344,4344,2104
11,41,10500,4340,4344,2104
12,41,10500,4344,4344,2104
1,42,30000,7080,7030,6000
2,42,30000,7080,7030,6000
3,42,30000,7080,7030,6000
4,42,30000,7080,7030,6000
5,42,30000,7080,7030,6000
6,42,30000,7080,7030,6000
7,42,30000,7080,7030,6000
8,42,30000,7080,7030,6000
9,42,30000,7080,7030,6000
10,42,30000,7080,7030,6000
11,42,30000,7080,7030,6000
12,42,30000,7080,7030,6000
1,43,6000,2050,1750,1200
2,43,6000,2450,1750,1200
3,43,6000,2450,2950,1200
4,43,6000,2450,2400,1200
5,43,6000,2450,2400,1200
6,43,6000,2450,2950,1200
7,43,6000,2450,1750,1200
8,43,6000,3650,2950,1200
9,43,6000,3650,2950,1200
10,43,6000,3650,2950,1200
11,43,6000,2450,1750,1200
12,43,6000,2150,2950,1200
1,44,6000,3600,3300,2400
2,44,6000,4500,4500,2400
3,44,6000,4500,3600,2400
4,44,6000,4500,4500,2400
5,44,6000,4500,4500,2400
6,44,6000,4500,4500,2400
7,44,6000,3600,3600,2400
8,44,6000,4500,4500,2400
9,44,6000,4500,4500,2400
10,44,6000,4500,4500,2400
11,44,6000,4500,3600,2400
12,44,6000,4500,3600,2400
1,45,12000,3069,3055,2400
2,45,12000,3069,3069,2400
3,45,12000,2415,3069,2400
4,45,12000,3070,3069,2400
5,45,12000,3069,3069,2400
6,45,12000,3070,3069,2400
7,45,12000,2419,3069,2400
8,45,12000,3069,3069,2400
9,45,12000,3070,3069,2400
10,45,12000,3069,3069,2400
11,45,12000,3069,3069,2400
12,45,12000,3065,3069,2400
1,46,12000,4400,5100,2400
2,46,12000,4400,5100,2400
3,46,12000,5100,5100,2400
4,46,12000,5050,5100,2400
5,46,12000,5100,5100,2400
6,46,12000,5750,5100,2400
7,46,12000,4950,5100,2400
8,46,12000,6250,5100,2400
9,46,12000,5050,5100,2400
10,46,12000,4250,5100,2400
11,46,12000,5100,5100,2400
12,46,12000,5100,5100,2400
1,47,12000,2700,3900,2400
2,47,12000,2700,3900,2400
3,47,12000,2700,4460,2400
4,47,12000,3900,3900,2400
5,47,12000,2700,3900,2400
6,47,12000,3350,4460,2400
7,47,12000,2700,3900,2400
8,47,12000,4550,4460,2400
9,47,12000,4550,4460,2400
10,47,12000,4550,4460,2400
11,47,12000,2700,3900,2400
12,47,12000,2700,3900,2400
1,48,6000,2410,2210,2200
2,48,6000,3503,2200,2200
3,48,6000,3503,2210,2200
4,48,6000,3503,2210,2200
5,48,6000,3503,2200,2200
6,48,6000,3503,2210,2200
7,48,6000,3503,2200,2200
8,48,6000,3503,2210,2200
9,48,6000,3503,2210,2200
10,48,6000,3503,2210,2200
11,48,6000,3503,2200,2200
12,48,6000,3503,2210,2200
1,49,1500,300,580,300
2,49,1500,512,580,300
3,49,1500,697,580,300
4,49,1500,557,580,300
5,49,1500,697,580,300
6,49,1500,557,580,300
7,49,1500,300,580,300
8,49,1500,697,580,300
9,49,1500,557,580,300
10,49,1500,557,580,300
11,49,1500,512,580,300
12,49,1500,557,580,300
1,50,12000,2710,2590,2400
2,50,12000,2710,2400,2400
3,50,12000,2710,2590,2400
4,50,12000,2748,2590,2400
5,50,12000,2710,2590,2400
6,50,12000,2748,2590,2400
7,50,12000,2710,2590,2400
8,50,12000,2580,2590,2400
9,50,12000,2710,2590,2400
10,50,12000,2748,2590,2400
11,50,12000,2710,2400,2400
12,50,12000,2748,2590,2400
1,51,6000,1646,1496,1320
2,51,6000,1646,1646,1320
3,51,6000,1646,1646,1320
4,51,6000,1646,1646,1320
5,51,6000,1646,1646,1320
6,51,6000,1646,1646,1320
7,51,6000,1646,1646,1320
8,51,6000,1646,1646,1320
9,51,6000,1646,1646,1320
10,51,6000,1646,1646,1320
11,51,6000,1646,1646,1320
12,51,6000,1646,1646,1320
1,52,12000,2472,2520,2400
2,52,12000,3720,2400,2400
3,52,12000,3600,2520,2400
4,52,12000,3720,3600,2400
5,52,12000,3792,3600,2400
6,52,12000,3720,3600,2400
7,52,12000,3792,2520,2400
8,52,12000,3792,3600,2400
9,52,12000,3720,3600,2400
10,52,12000,3720,3600,2400
11,52,12000,3600,3600,2400
12,52,12000,2520,2520,2400
1,53,30000,6650,6050,6000
2,53,30000,9050,6050,6000
3,53,30000,8350,6050,6000
4,53,30000,9000,6050,6000
5,53,30000,9000,6050,6000
6,53,30000,9000,6050,6000
7,53,30000,6000,6000,6000
8,53,30000,9000,6050,6000
9,53,30000,8350,6050,6000
10,53,30000,8350,6050,6000
11,53,30000,6000,6000,6000
12,53,30000,6650,6050,6000
1,54,10500,2750,2750,2100
2,54,10500,3150,3150,2100
3,54,10500,3150,3150,2100
4,54,10500,3150,3150,2100
5,54,10500,3170,3150,2100
6,54,10500,3170,3150,2100
7,54,10500,3150,3150,2100
8,54,10500,3150,3150,2100
9,54,10500,3150,3150,2100
10,54,10500,3170,3150,2100
11,54,10500,3150,3150,2100
12,54,10500,3150,3150,2100
1,55,18000,3600,3600,3600
2,55,18000,6190,6130,3600
3,55,18000,3790,3700,3600
4,55,18000,6190,6130,3600
5,55,18000,6190,6130,3600
6,55,18000,6190,6130,3600
7,55,18000,6190,3700,3600
8,55,18000,6190,6130,3600
9,55,18000,6190,6130,3600
10,55,18000,6190,6130,3600
11,55,18000,6160,3700,3600
12,55,18000,6160,3700,3600
1,56,30000,6010,6010,6000
2,56,30000,7260,6010,6000
3,56,30000,7260,6010,6000
4,56,30000,7260,6010,6000
5,56,30000,7260,6010,6000
6,56,30000,7210,6010,6000
7,56,30000,7210,6011,6000
8,56,30000,7260,7260,6000
9,56,30000,7260,6010,6000
10,56,30000,7210,6010,6000
11,56,30000,7200,6010,6000
12,56,30000,7260,6010,6000
1,57,30000,8432,6180,6000
2,57,30000,8580,8580,6000
3,57,30000,8432,8432,6000
4,57,30000,8580,8580,6000
5,57,30000,8580,8580,6000
6,57,30000,8580,8580,6000
7,57,30000,8580,8432,6000
8,57,30000,8580,8580,6000
9,57,30000,8580,8580,6000
10,57,30000,8580,8580,6000
11,57,30000,8580,8432,6000
12,57,30000,8580,8432,6000
1,58,17500,6024,6024,3500
2,58,17500,6024,6024,3500
3,58,17500,3624,6024,3500
4,58,17500,6024,6024,3500
5,58,17500,6024,6024,3500
6,58,17500,6024,6024,3500
7,58,17500,5904,6024,3500
8,58,17500,6024,6024,3500
9,58,17500,6024,6024,3500
10,58,17500,6024,6024,3500
11,58,17500,5904,6024,3500
12,58,17500,5904,6024,3500
1,59,12000,4800,2550,2400
2,59,12000,4972,4950,2400
3,59,12000,4872,4800,2400
4,59,12000,4950,4950,2400
5,59,12000,4972,4950,2400
6,59,12000,5022,4922,2400
7,59,12000,4872,4800,2400
8,59,12000,4950,4922,2400
9,59,12000,5022,4922,2400
10,59,12000,4972,4922,2400
11,59,12000,4900,4800,2400
12,59,12000,4850,4800,2400
1,60,12000,4800,4948,2400
2,60,12000,6148,4948,2400
3,60,12000,4948,4948,2400
4,60,12000,6148,4948,2400
5,60,12000,6148,4948,2400
6,60,12000,6148,4948,2400
7,60,12000,6000,4948,2400
8,60,12000,6148,4948,2400
9,60,12000,6148,4948,2400
10,60,12000,6148,4948,2400
11,60,12000,6148,4948,2400
12,60,12000,6000,4948,2400
1,61,12000,7850,5450,2400
2,61,12000,7850,7850,2400
3,61,12000,7850,5450,2400
4,61,12000,7850,7850,2400
5,61,12000,7850,7850,2400
6,61,12000,7850,7850,2400
7,61,12000,7850,5450,2400
8,61,12000,7850,7850,2400
9,61,12000,7850,7850,2400
10,61,12000,7850,7850,2400
11,61,12000,5450,5450,2400
12,61,12000,7750,5450,2400
1,62,6000,1350,1202,1200
2,62,6000,1395,1395,1200
3,62,6000,1350,1350,1200
4,62,6000,1395,1395,1200
5,62,6000,1395,1395,1200
6,62,6000,1395,1395,1200
7,62,6000,1395,1350,1200
8,62,6000,1395,1395,1200
9,62,6000,1395,1395,1200
10,62,6000,1395,1395,1200
11,62,6000,1395,1350,1200
12,62,6000,1350,1350,1200
1,63,20000,4045,5228,4072
2,63,20000,5273,5228,4072
3,63,20000,5100,5228,4072
4,63,20000,5145,5228,4072
5,63,20000,5145,5228,4072
6,63,20000,5201,5228,4072
7,63,20000,5100,5228,4072
8,63,20000,5217,5228,4072
9,63,20000,5172,5228,4072
10,63,20000,5201,5228,4072
11,63,20000,5100,5228,4072
12,63,20000,5100,5228,4072
1,64,12000,4405,5905,2405
2,64,12000,4405,5705,2405
3,64,12000,4405,5905,2405
4,64,12000,4405,5905,2405
5,64,12000,4405,5905,2405
6,64,12000,5705,5905,2405
7,64,12000,4405,5905,2405
8,64,12000,4405,5905,2405
9,64,12000,4405,5905,2405
10,64,12000,6805,5905,2405
11,64,12000,4405,5905,2405
12,64,12000,4405,5905,2405
1,65,30000,8190,8190,6000
2,65,30000,8190,8190,6000
3,65,30000,8190,8190,6000
4,65,30000,8190,8190,6000
5,65,30000,8190,8190,6000
6,65,30000,8190,8190,6000
7,65,30000,6090,8190,6000
8,65,30000,8190,8190,6000
9,65,30000,8190,8190,6000
10,65,30000,8190,8190,6000
11,65,30000,8190,8190,6000
12,65,30000,8190,8190,6000
1,66,2750,658,750,550
2,66,2750,758,750,550
3,66,2750,758,750,550
4,66,2750,758,750,550
5,66,2750,758,750,550
6,66,2750,758,750,550
7,66,2750,758,750,550
8,66,2750,758,750,550
9,66,2750,758,750,550
10,66,2750,758,750,550
11,66,2750,758,750,550
12,66,2750,758,750,550
1,67,12000,3240,2400,3100
2,67,12000,3315,2400,3100
3,67,12000,3100,2400,3100
4,67,12000,3315,2400,3100
5,67,12000,3315,3240,3100
6,67,12000,3315,3240,3100
7,67,12000,3175,2475,3100
8,67,12000,4515,3240,3100
9,67,12000,3315,2400,3100
10,67,12000,3315,3240,3100
11,67,12000,3315,2400,3100
12,67,12000,3100,2400,3100
1,68,12000,4393,2493,2400
2,68,12000,4393,2893,2400
3,68,12000,4393,2893,2400
4,68,12000,4393,2493,2400
5,68,12000,4393,2893,2400
6,68,12000,4393,2793,2400
7,68,12000,4393,2893,2400
8,68,12000,4393,2493,2400
9,68,12000,4393,2493,2400
10,68,12000,4393,2493,2400
11,68,12000,4393,2893,2400
12,68,12000,4393,2893,2400
1,69,30000,6550,6595,6045
2,69,30000,6688,6688,6045
3,69,30000,6688,6595,6045
4,69,30000,6688,6688,6045
5,69,30000,6688,6688,6045
6,69,30000,6688,6688,6045
7,69,30000,6595,6595,6045
8,69,30000,6688,6688,6045
9,69,30000,6688,6688,6045
10,69,30000,6688,6688,6045
11,69,30000,6688,6595,6045
12,69,30000,6595,6595,6045
1,70,1500,568,648,300
2,70,1500,748,648,300
3,70,1500,568,648,300
4,70,1500,600,648,300
5,70,1500,600,648,300
6,70,1500,648,648,300
7,70,1500,520,648,300
8,70,1500,668,648,300
9,70,1500,668,648,300
10,70,1500,600,648,300
11,70,1500,568,648,300
12,70,1500,600,648,300
1,71,20000,4140,4142,4000
2,71,20000,4202,4192,4000
3,71,20000,4192,4142,4000
4,71,20000,4202,4192,4000
5,71,20000,4202,4192,4000
6,71,20000,4202,4192,4000
7,71,20000,4202,4142,4000
8,71,20000,4202,4192,4000
9,71,20000,4192,4192,4000
10,71,20000,4192,4192,4000
11,71,20000,4202,4142,4000
12,71,20000,4192,4142,4000
1,72,5000,1060,1080,1000
2,72,5000,2084,1064,1000
3,72,5000,2024,1080,1000
4,72,5000,2084,1084,1000
5,72,5000,2084,1064,1000
6,72,5000,2084,1084,1000
7,72,5000,2020,1080,1000
8,72,5000,2084,1084,1000
9,72,5000,2084,1084,1000
10,72,5000,2084,1084,1000
11,72,5000,2084,1080,1000
12,72,5000,2080,1080,1000
1,73,30000,8330,6131,6056
2,73,30000,8387,6187,6056
3,73,30000,8387,6186,6056
4,73,30000,8387,6187,6056
5,73,30000,8387,6187,6056
6,73,30000,8387,6187,6056
7,73,30000,8387,6186,6056
8,73,30000,8387,6187,6056
9,73,30000,8387,6187,6056
10,73,30000,8386,6187,6056
11,73,30000,8387,6186,6056
12,73,30000,8386,6186,6056
1,74,6000,1200,1200,1300
2,74,6000,1200,1200,1300
3,74,6000,1200,1200,1300
4,74,6000,1200,1200,1300
5,74,6000,1200,1200,1300
6,74,6000,1200,1200,1300
7,74,6000,1200,1200,1300
8,74,6000,1492,1200,1300
9,74,6000,1200,1200,1300
10,74,6000,1200,1200,1300
11,74,6000,1200,1200,1300
12,74,6000,1200,1200,1300
1,75,30000,12004,18000,12000
