Month,House,Gecode,Limit,OGSA,Preferred
1,1,2100,6000,2100,1200
2,1,2100,6000,2100,1200
3,1,1200,6000,1200,1200
4,1,1200,6000,1200,1200
5,1,2100,6000,2100,1200
6,1,2400,6000,2400,1200
7,1,1200,6000,1200,1200
8,1,1200,6000,1200,1200
9,1,1200,6000,1200,1200
10,1,2100,6000,2100,1200
11,1,2100,6000,2100,1200
12,1,2100,6000,2100,1200
1,2,2400,12000,2400,2400
2,2,2700,12000,2400,2400
3,2,2400,12000,2400,2400
4,2,2400,12000,2400,2400
5,2,2400,12000,2400,2400
6,2,2400,12000,2400,2400
7,2,2400,12000,2400,2400
8,2,2400,12000,2400,2400
9,2,2400,12000,2400,2400
10,2,2400,12000,2400,2400
11,2,2400,12000,2400,2400
12,2,2400,12000,2400,2400
1,3,2400,12000,2400,2400
2,3,2400,12000,2400,2400
3,3,2400,12000,2400,2400
4,3,2400,12000,2400,2400
5,3,2400,12000,2400,2400
6,3,2400,12000,2400,2400
7,3,2400,12000,2400,2400
8,3,2400,12000,2400,2400
9,3,2415,12000,2400,2400
10,3,2400,12000,2400,2400
11,3,2400,12000,2400,2400
12,3,2400,12000,2400,2400
1,4,8000,30000,6000,6000
2,4,6000,30000,8000,6000
3,4,6000,30000,6000,6000
4,4,6000,30000,8000,6000
5,4,8000,30000,6000,6000
6,4,8000,30000,6000,6000
7,4,8000,30000,6000,6000
8,4,8000,30000,6000,6000
9,4,6000,30000,6000,6000
10,4,6000,30000,6000,6000
11,4,6000,30000,6000,6000
12,4,8000,30000,6000,6000
1,5,2200,11000,3200,2200
2,5,3200,11000,3200,2200
3,5,2200,11000,2200,2200
4,5,3200,11000,3200,2200
5,5,3200,11000,3200,2200
6,5,3200,11000,3200,2200
7,5,2200,11000,2200,2200
8,5,3200,11000,3200,2200
9,5,3200,11000,3200,2200
10,5,3200,11000,3200,2200
11,5,2200,11000,2200,2200
12,5,2200,11000,3200,2200
1,6,2400,12000,2400,2400
2,6,2400,12000,2400,2400
3,6,2400,12000,2400,2400
4,6,2400,12000,2400,2400
5,6,3700,12000,3700,2400
6,6,3700,12000,3700,2400
7,6,6100,12000,6100,2400
8,6,6100,12000,6100,2400
9,6,4400,12000,4400,2400
10,6,2400,12000,2400,2400
11,6,2400,12000,2400,2400
