Month,House,Attribute,0,1,2,3,4
0,1,demands,35,62,30,2400,120
0,1,durations,3,4,4,1,2
0,1,earliest_starts,0,0,0,0,0
0,1,latest_ends,143,143,143,143,143
0,1,care_factors,3000,1000,3000,5000,10000
0,1,predecessors,1,-1,-1,-1,-1
0,1,successors,2,-1,-1,-1,-1
0,1,prec_delays,132,-1,-1,-1,-1
0,1,preferred_starts,126,53,66,1,1
1,1,astart - ogsa,126,53,66,1,1
1,1,astart - Gecode,126,53,66,1,1
1,1,astart - Gurobi,126,53,66,1,1
2,1,astart - ogsa,126,53,66,6,1
2,1,astart - Gecode,126,53,66,6,1
2,1,astart - Gurobi,126,53,66,6,1
0,2,demands,2400,20,1200,55,148
0,2,durations,2,3,1,2,2
0,2,earliest_starts,0,0,0,0,0
0,2,latest_ends,143,143,143,143,143
0,2,care_factors,4000,10000,9000,3000,7000
0,2,predecessors,0,3,-1,-1,-1
0,2,successors,1,4,-1,-1,-1
0,2,prec_delays,83,124,-1,-1,-1
0,2,preferred_starts,91,118,126,29,130
1,2,astart - ogsa,76,118,126,29,130
1,2,astart - Gecode,76,118,126,29,130
1,2,astart - Gurobi,76,118,126,29,130
2,2,astart - ogsa,102,118,126,29,130
2,2,astart - Gecode,102,118,126,29,130
2,2,astart - Gurobi,102,118,126,29,130
0,3,demands,4000,8,2300,130,90
0,3,durations,3,1,7,6,2
0,3,earliest_starts,0,0,0,0,0
0,3,latest_ends,143,143,143,143,143
0,3,care_factors,8000,2000,8000,9000,8000
0,3,predecessors,0,-1,-1,-1,-1
0,3,successors,2,-1,-1,-1,-1
0,3,prec_delays,38,-1,-1,-1,-1
0,3,preferred_starts,2,52,38,19,118
1,3,astart - ogsa,9,52,17,19,118
1,3,astart - Gecode,9,52,17,19,118
1,3,astart - Gurobi,9,52,17,19,118
2,3,astart - ogsa,6,52,17,19,118
2,3,astart - Gecode,6,52,17,19,118
2,3,astart - Gurobi,6,52,17,19,118
