Month,House,OGSA,Optimised,Preferred
1,1,2110,2130,2075
2,1,2130,2130,2075
3,1,2130,2130,2075
4,1,2182,2130,2075
5,1,2130,2130,2075
6,1,2182,2130,2075
7,1,2130,2130,2075
8,1,2182,2130,2075
9,1,2130,2130,2075
10,1,2130,2130,2075
11,1,2107,2130,2075
12,1,2130,2130,2075
1,2,6762,6762,6062
2,2,6762,6762,6062
3,2,6762,6762,6062
4,2,6762,6762,6062
5,2,6762,6762,6062
6,2,6762,6762,6062
7,2,6762,6762,6062
8,2,6762,6762,6062
9,2,6762,6762,6062
10,2,6762,6762,6062
11,2,6762,6762,6062
12,2,6762,6762,6062
1,3,8572,6372,2472
2,3,8572,6372,2472
3,3,8572,6372,2472
4,3,8572,6372,2472
5,3,8572,6372,2472
6,3,7072,6372,2472
7,3,7000,6372,2472
8,3,8572,6372,2472
9,3,8572,6372,2472
10,3,7072,6172,2472
11,3,7000,6372,2472
12,3,8572,6372,2472
1,4,3540,3545,2305
2,4,3549,3545,2305
3,4,3549,3545,2305
4,4,3549,3545,2305
5,4,3549,3545,2305
6,4,3549,3545,2305
7,4,3549,3545,2305
8,4,3549,3545,2305
9,4,3549,3545,2305
10,4,3549,3545,2305
11,4,3545,3545,2305
12,4,3545,3545,2305
1,5,1211,1266,1000
2,5,1266,1266,1000
3,5,1258,1266,1000
4,5,1266,1266,1000
5,5,1266,1266,1000
6,5,1266,1266,1000
7,5,1203,1266,1000
8,5,1266,1266,1000
9,5,1266,1266,1000
10,5,1266,1266,1000
11,5,1055,1266,1000
12,5,1063,1266,1000
1,6,2230,2240,1110
2,6,2240,2240,1110
3,6,2230,2240,1110
4,6,2240,2240,1110
5,6,2240,2240,1110
6,6,2240,2240,1110
7,6,2240,2240,1110
8,6,2240,2240,1110
9,6,2240,2240,1110
10,6,2240,2240,1110
11,6,1160,2240,1110
12,6,2240,2240,1110
1,7,2450,2525,2400
2,7,2570,2525,2400
3,7,2570,2525,2400
4,7,2570,2525,2400
5,7,2570,2525,2400
6,7,2570,2525,2400
7,7,2450,2525,2400
8,7,2570,2525,2400
9,7,2570,2525,2400
10,7,2570,2525,2400
11,7,2450,2525,2400
12,7,2450,2525,2400
1,8,1320,2020,1200
2,8,3220,3160,1200
3,8,1900,2020,1200
4,8,3280,3160,1200
5,8,3220,3160,1200
6,8,3280,3160,1200
7,8,3100,2020,1200
8,8,3280,3160,1200
9,8,3280,3160,1200
10,8,3280,3160,1200
11,8,2580,2020,1200
12,8,3220,2020,1200
1,9,13252,13272,7200
2,9,13324,13272,7200
3,9,13324,13272,7200
4,9,13324,13272,7200
5,9,13324,13272,7200
6,9,13324,13252,7200
7,9,13324,13272,7200
8,9,13324,13272,7200
9,9,13324,13252,7200
10,9,13324,13252,7200
11,9,13252,13272,7200
12,9,13324,13272,7200
1,10,3700,3700,1500
2,10,4350,3700,1500
3,10,4350,3700,1500
4,10,4350,3700,1500
5,10,4350,3700,1500
6,10,4350,3700,1500
7,10,4350,3700,1500
8,10,4350,3700,1500
9,10,4350,3450,1500
10,10,4350,3700,1500
11,10,3700,3700,1500
12,10,3700,3700,1500
1,11,2500,3601,2400
2,11,3673,3601,2400
3,11,3601,3601,2400
4,11,3672,3601,2400
5,11,3672,3601,2400
6,11,3672,3573,2400
7,11,3672,3601,2400
8,11,3672,3601,2400
9,11,3673,3573,2400
10,11,3673,3573,2400
11,11,3600,3601,2400
12,11,3572,3601,2400
1,12,1198,1198,900
2,12,1336,1198,900
3,12,1243,1198,900
4,12,1198,1198,900
5,12,1291,1198,900
6,12,1336,1198,900
7,12,1198,1198,900
8,12,1336,1198,900
9,12,1291,1198,900
10,12,1198,1198,900
11,12,1141,1198,900
12,12,1336,1198,900
1,13,10700,6000,6000
2,13,11700,10200,6000
3,13,11700,6000,6000
4,13,11700,10200,6000
5,13,11700,10200,6000
6,13,11700,10200,6000
7,13,10700,6000,6000
8,13,11700,10200,6000
9,13,11700,10200,6000
10,13,11700,10200,6000
