Month,House,OGSA,Optimised,Preferred
1,1,3727,3652,2400
2,1,4827,3652,2400
1,2,1200,1515,1200
2,2,1515,1515,1200
1,3,3515,3515,3500
2,3,3580,3515,3500
1,4,2455,3516,2400
2,4,3516,3516,2400
1,5,2288,2500,2000
2,5,2863,2640,2000
