Month,House,Attribute,0,1,2,3,4
0,1,demands,700,55,1000,50,15
0,1,durations,5,5,2,6,3
0,1,earliest_starts,0,0,0,0,0
0,1,latest_ends,143,143,143,143,143
0,1,care_factors,8100,0,9000,0,6300
0,1,predecessors,2,-1,-1,-1,-1
0,1,successors,4,-1,-1,-1,-1
0,1,prec_delays,104,-1,-1,-1,-1
0,1,preferred_starts,35,91,21,71,43
1,1,astart - ogsa,31,15,21,15,43
1,1,astart - Gecode,31,15,21,15,43
1,1,astart - Gurobi,31,15,21,18,43
2,1,astart - ogsa,25,6,21,6,43
2,1,astart - Gecode,25,6,21,6,43
2,1,astart - Gurobi,25,6,21,6,43
3,1,astart - ogsa,35,15,21,15,43
3,1,astart - Gecode,35,15,21,15,43
3,1,astart - Gurobi,35,15,21,15,43
4,1,astart - ogsa,31,20,21,20,43
4,1,astart - Gecode,31,19,21,18,43
4,1,astart - Gurobi,31,19,21,21,43
5,1,astart - ogsa,31,21,21,21,43
5,1,astart - Gecode,31,21,21,21,43
5,1,astart - Gurobi,31,21,21,21,43
6,1,astart - ogsa,31,22,21,21,43
6,1,astart - Gecode,31,22,21,21,43
6,1,astart - Gurobi,31,22,21,21,43
7,1,astart - ogsa,28,19,21,18,43
7,1,astart - Gecode,28,18,21,18,43
7,1,astart - Gurobi,28,18,21,18,43
8,1,astart - ogsa,28,23,21,21,43
8,1,astart - Gecode,28,22,21,21,43
8,1,astart - Gurobi,28,22,21,24,43
9,1,astart - ogsa,28,25,21,24,43
9,1,astart - Gecode,28,25,21,24,43
9,1,astart - Gurobi,28,25,21,24,43
10,1,astart - ogsa,21,19,21,18,43
10,1,astart - Gecode,21,19,21,18,43
10,1,astart - Gurobi,21,19,21,18,43
11,1,astart - ogsa,25,9,21,9,43
11,1,astart - Gecode,25,9,21,9,43
11,1,astart - Gurobi,25,9,21,9,43
12,1,astart - ogsa,25,15,21,15,43
12,1,astart - Gecode,25,15,21,15,43
12,1,astart - Gurobi,25,15,21,15,43
0,2,demands,4000,130,93,1200,62
0,2,durations,4,3,5,1,6
0,2,earliest_starts,0,0,0,0,0
0,2,latest_ends,143,143,143,143,143
0,2,care_factors,0,6300,1800,4500,900
0,2,predecessors,3,-1,-1,-1,-1
0,2,successors,4,-1,-1,-1,-1
0,2,prec_delays,52,-1,-1,-1,-1
0,2,preferred_starts,99,50,39,1,4
1,2,astart - ogsa,19,50,39,1,6
1,2,astart - Gecode,15,50,39,1,6
1,2,astart - Gurobi,20,50,39,1,6
2,2,astart - ogsa,6,50,39,6,7
2,2,astart - Gecode,6,50,39,6,7
2,2,astart - Gurobi,6,50,39,6,7
3,2,astart - ogsa,17,50,39,1,4
3,2,astart - Gecode,15,50,39,1,4
3,2,astart - Gurobi,17,50,39,1,4
4,2,astart - ogsa,21,50,40,3,4
4,2,astart - Gecode,20,50,40,3,4
4,2,astart - Gurobi,21,50,40,3,4
5,2,astart - ogsa,21,50,31,1,4
5,2,astart - Gecode,21,50,31,1,4
5,2,astart - Gurobi,21,50,31,1,4
6,2,astart - ogsa,23,50,31,1,4
6,2,astart - Gecode,23,50,31,1,4
6,2,astart - Gurobi,23,50,31,1,4
7,2,astart - ogsa,20,50,31,3,4
7,2,astart - Gecode,18,50,31,3,4
7,2,astart - Gurobi,20,50,31,3,4
8,2,astart - ogsa,24,50,28,3,4
8,2,astart - Gecode,23,50,28,3,4
8,2,astart - Gurobi,24,50,28,3,4
9,2,astart - ogsa,26,50,31,1,9
9,2,astart - Gecode,26,50,31,1,9
9,2,astart - Gurobi,26,50,31,1,9
10,2,astart - ogsa,20,50,42,1,12
10,2,astart - Gecode,20,50,42,1,12
10,2,astart - Gurobi,20,50,42,1,12
11,2,astart - ogsa,11,50,42,1,6
11,2,astart - Gecode,9,50,42,1,6
11,2,astart - Gurobi,11,50,42,1,6
12,2,astart - ogsa,15,50,39,1,4
12,2,astart - Gecode,15,50,39,1,4
12,2,astart - Gurobi,17,50,39,1,4
0,3,demands,10,700,1100,68,148
0,3,durations,5,5,4,2,4
0,3,earliest_starts,0,0,0,0,0
0,3,latest_ends,143,143,143,143,143
0,3,care_factors,0,2700,2700,6300,6300
0,3,predecessors,2,-1,-1,-1,-1
0,3,successors,3,-1,-1,-1,-1
0,3,prec_delays,45,-1,-1,-1,-1
0,3,preferred_starts,77,62,8,46,70
1,3,astart - ogsa,16,58,9,46,70
1,3,astart - Gecode,15,58,9,46,70
1,3,astart - Gurobi,19,58,9,46,70
2,3,astart - ogsa,6,62,6,46,70
