Month,House,Gecode,Gurobi,Limit,OGSA,Preferred
1,1,900,900,4500,900,900
2,1,900,900,4500,900,900
1,2,2400,2400,12000,2400,3500
2,2,2400,2400,12000,3100,3500
1,3,1000,1000,5000,1120,1000
2,3,1120,1120,5000,1000,1000
1,4,1200,1200,6000,1200,1200
2,4,1200,1200,6000,1200,1200
1,5,4100,4100,12000,4100,4100
2,5,4100,4100,12000,4100,4100
1,6,1800,1800,8500,1800,1800
2,6,1800,1800,8500,1800,1800
1,7,350,350,1750,350,350
2,7,350,350,1750,350,350
1,8,2400,2400,12000,2400,2400
2,8,2400,2400,12000,2400,2400
1,9,3555,3555,17500,3555,3500
2,9,3555,3555,17500,3555,3500
1,10,700,700,3500,700,700
2,10,704,704,3500,704,700
1,11,6055,6055,30000,6055,6000
2,11,6000,6000,30000,6000,6000
1,12,4100,4100,12000,4100,2400
2,12,4100,4100,12000,4100,2400
1,13,4600,4600,18000,4600,3600
2,13,4600,4600,18000,6120,3600
1,14,2400,2400,12000,2400,2400
2,14,2400,2400,12000,2400,2400
1,15,2400,2400,12000,2400,2400
2,15,2400,2400,12000,2400,2400
1,16,1500,1500,7500,1500,1500
2,16,1500,1500,7500,1500,1500
1,17,2472,2472,12000,2400,2400
2,17,2472,2472,12000,2400,2400
1,18,2400,2400,12000,2400,2400
2,18,2400,2400,12000,2400,2400
1,19,1500,1500,7500,1500,1500
2,19,1500,1500,7500,1500,1500
1,20,9400,9400,30000,9400,6000
2,20,8400,8400,30000,8400,6000
1,21,6000,6000,30000,6000,6060
2,21,6000,6000,30000,6000,6060
1,22,3600,3600,18000,3600,3600
2,22,3600,3600,18000,6000,3600
1,23,1000,1000,5000,1000,1000
2,23,1000,1000,5000,1000,1000
1,24,1700,1700,8500,1700,1700
2,24,1700,1700,8500,1700,1700
1,25,6000,6000,30000,6000,6000
2,25,6000,6000,30000,6000,6000
1,26,1000,1000,5000,1000,1000
2,26,1000,1000,5000,1000,1000
1,27,1272,1272,6000,1272,1200
2,27,1200,1200,6000,1200,1200
1,28,150,150,750,150,150
2,28,150,150,750,150,150
1,29,2400,2400,12000,2400,2400
2,29,2400,2400,12000,2455,2400
1,30,1200,1200,6000,1200,1200
2,30,1200,1200,6000,1200,1200
1,31,3000,3000,10500,3000,2100
2,31,3000,3000,10500,3000,2100
1,32,3500,3500,17500,3500,3500
2,32,3500,3500,17500,3500,3500
1,33,1200,1200,6000,1200,1200
2,33,1200,1200,6000,1200,1200
1,34,2400,2400,12000,2400,2400
2,34,2400,2400,12000,2400,2400
1,35,2100,2100,10500,2100,2100
2,35,2100,2100,10500,2100,2100
1,36,1000,900,4500,900,900
2,36,1000,1000,4500,1000,900
1,37,1500,1500,7500,1535,1500
2,37,1500,1500,7500,1535,1500
1,38,2400,3600,12000,2400,3600
2,38,2400,2400,12000,2400,3600
1,39,9500,9500,30000,9500,6000
2,39,9500,9500,30000,9500,6000
1,40,2400,2400,12000,2400,2400
2,40,2400,2400,12000,3630,2400
1,41,1200,1200,6000,1200,2200
2,41,1200,1200,6000,1200,2200
1,42,550,550,2750,550,550
2,42,550,550,2750,550,550
1,43,2300,2300,11500,2300,2300
2,43,2300,2300,11500,2300,2300
1,44,6400,6400,12000,8600,2400
2,44,4700,4700,12000,4700,2400
1,45,6000,6000,30000,6000,6000
2,45,6000,6000,30000,6000,6000
1,46,2000,2000,10000,2000,2000
2,46,2000,2000,10000,2000,2000
1,47,2100,2100,10500,2100,2100
2,47,2100,2100,10500,2100,2100
1,48,2400,2400,12000,2400,2500
2,48,2500,2500,12000,2500,2500
1,49,2000,2015,10000,2015,2000
2,49,2000,2000,10000,2015,2000
1,50,1200,1200,6000,1200,1200
2,50,1200,1200,6000,1200,1200
