Month,House,Gecode,Limit,OGSA,Preferred
1,1,6000,12000,6000,2400
2,1,3600,12000,3600,2400
3,1,6000,12000,6000,2400
4,1,6000,12000,6000,2400
5,1,6000,12000,6000,2400
6,1,6000,12000,6000,2400
7,1,6000,12000,6000,2400
8,1,6000,12000,6000,2400
9,1,6000,12000,6000,2400
10,1,6000,12000,6000,2400
11,1,3600,12000,3600,2400
12,1,6000,12000,6000,2400
1,2,3500,17500,3500,3620
2,2,3500,17500,3500,3620
3,2,3620,17500,3620,3620
4,2,3620,17500,3620,3620
5,2,3620,17500,3620,3620
6,2,3500,17500,3500,3620
7,2,3500,17500,3500,3620
8,2,3620,17500,3500,3620
9,2,3620,17500,3620,3620
10,2,3620,17500,3620,3620
11,2,3500,17500,3500,3620
12,2,3500,17500,3500,3620
1,3,4800,12000,4800,2400
2,3,4800,12000,4800,2400
3,3,4800,12000,4800,2400
4,3,4800,12000,4800,2400
5,3,4800,12000,4800,2400
6,3,4800,12000,4800,2400
7,3,4800,12000,2400,2400
8,3,4800,12000,4800,2400
9,3,4800,12000,4800,2400
10,3,4800,12000,4800,2400
11,3,2490,12000,2490,2400
12,3,4800,12000,2490,2400
1,4,1100,5500,1300,2100
2,4,1100,5500,1100,2100
3,4,1100,5500,1100,2100
4,4,1300,5500,1300,2100
5,4,1100,5500,1100,2100
6,4,1300,5500,1300,2100
7,4,1100,5500,1100,2100
8,4,1300,5500,1300,2100
9,4,1300,5500,1300,2100
10,4,1300,5500,1300,2100
11,4,1100,5500,1100,2100
12,4,1100,5500,1100,2100
1,5,8600,25000,8600,5300
2,5,8600,25000,8600,5300
3,5,8600,25000,8600,5300
4,5,8600,25000,8600,5300
5,5,8600,25000,8600,5300
6,5,8600,25000,8600,5300
7,5,8600,25000,8600,5300
8,5,8600,25000,8600,5300
9,5,8600,25000,8600,5300
10,5,8600,25000,8600,5300
11,5,8600,25000,8600,5300
12,5,8600,25000,8600,5300
1,6,2400,12000,2400,2400
2,6,2400,12000,2400,2400
3,6,2400,12000,2400,2400
4,6,3050,12000,3050,2400
5,6,3050,12000,3050,2400
6,6,3050,12000,3050,2400
7,6,3050,12000,3050,2400
8,6,3050,12000,3050,2400
9,6,2400,12000,2400,2400
10,6,2400,12000,3050,2400
11,6,2400,12000,3050,2400
12,6,2400,12000,2400,2400
1,7,2200,11000,2200,2200
2,7,2200,11000,2200,2200
3,7,2200,11000,2200,2200
4,7,2200,11000,2200,2200
5,7,2200,11000,2200,2200
6,7,2200,11000,2200,2200
7,7,2200,11000,2200,2200
8,7,2200,11000,2200,2200
9,7,2200,11000,2200,2200
10,7,2200,11000,2200,2200
11,7,2200,11000,2200,2200
12,7,2200,11000,2200,2200
1,8,6150,30000,6150,6150
2,8,6000,30000,6000,6150
3,8,6150,30000,6150,6150
4,8,6000,30000,6000,6150
5,8,6000,30000,6000,6150
6,8,6000,30000,6000,6150
7,8,6000,30000,6000,6150
8,8,6000,30000,6000,6150
9,8,6000,30000,6000,6150
10,8,6000,30000,6000,6150
11,8,6150,30000,6150,6150
12,8,6150,30000,6150,6150
1,9,4000,20000,4000,4000
2,9,4000,20000,4000,4000
3,9,4000,20000,4000,4000
4,9,4000,20000,4000,4000
5,9,4000,20000,4000,4000
6,9,4000,20000,4000,4000
7,9,4000,20000,4000,4000
8,9,4000,20000,4000,4000
9,9,4000,20000,4000,4000
10,9,4000,20000,4000,4000
11,9,4000,20000,4000,4000
12,9,4000,20000,4000,4000
1,10,1200,6000,1200,1200
2,10,1200,6000,1200,1200
3,10,1350,6000,1200,1200
4,10,1350,6000,1200,1200
5,10,1350,6000,1200,1200
6,10,1200,6000,1350,1200
7,10,1200,6000,1350,1200
8,10,1200,6000,1350,1200
9,10,1200,6000,1200,1200
10,10,1350,6000,1268,1200
11,10,1200,6000,1200,1200
12,10,1350,6000,1200,1200
1,11,5000,20000,4000,4072
2,11,5000,20000,4000,4072
3,11,5000,20000,4000,4072
4,11,5000,20000,4000,4072
5,11,5000,20000,4000,4072
6,11,5000,20000,4000,4072
7,11,5000,20000,4000,4072
8,11,5000,20000,4000,4072
9,11,4000,20000,4000,4072
10,11,5000,20000,4000,4072
11,11,4000,20000,4000,4072
12,11,5000,20000,5000,4072
1,12,2400,12000,2400,2400
2,12,3500,12000,3500,2400
3,12,2400,12000,2400,2400
4,12,2400,12000,2400,2400
5,12,2400,12000,2400,2400
6,12,2400,12000,2400,2400
7,12,2400,12000,2400,2400
8,12,3500,12000,3500,2400
9,12,2456,12000,2456,2400
10,12,2400,12000,2400,2400
11,12,3500,12000,3500,2400
12,12,2400,12000,2400,2400
1,13,2400,12000,2400,2400
2,13,2400,12000,2400,2400
3,13,2400,12000,2400,2400
4,13,2400,12000,2400,2400
5,13,2490,12000,2490,2400
6,13,2400,12000,2400,2400
7,13,2400,12000,2400,2400
8,13,2400,12000,2490,2400
9,13,2400,12000,2400,2400
10,13,2490,12000,2490,2400
11,13,2400,12000,2400,2400
12,13,2400,12000,2400,2400
1,14,2400,12000,2400,2400
2,14,2400,12000,2400,2400
3,14,2400,12000,2400,2400
4,14,2400,12000,2400,2400
5,14,3600,12000,3600,2400
6,14,2400,12000,2400,2400
7,14,3600,12000,3600,2400
8,14,3600,12000,3600,2400
9,14,3600,12000,3600,2400
10,14,2400,12000,2400,2400
11,14,3600,12000,3600,2400
12,14,3600,12000,3600,2400
1,15,2300,11500,4950,2300
2,15,2950,11500,4950,2300
3,15,2300,11500,2300,2300
4,15,2300,11500,4300,2300
5,15,2950,11500,4950,2300
6,15,4950,11500,4950,2300
7,15,4300,11500,4300,2300
8,15,4300,11500,4300,2300
9,15,2650,11500,4300,2300
10,15,2300,11500,4300,2300
11,15,2300,11500,2300,2300
12,15,2300,11500,2650,2300
1,16,1200,6000,1200,1200
2,16,1200,6000,1200,1200
3,16,1200,6000,1200,1200
4,16,1200,6000,1200,1200
5,16,1200,6000,1200,1200
6,16,1200,6000,1200,1200
7,16,1200,6000,1200,1200
8,16,1200,6000,1200,1200
9,16,1200,6000,1200,1200
10,16,1200,6000,1200,1200
11,16,1200,6000,1200,1200
12,16,1200,6000,1200,1200
1,17,300,1500,300,300
2,17,300,1500,300,300
3,17,300,1500,300,300
4,17,300,1500,300,300
5,17,300,1500,300,300
6,17,300,1500,300,300
7,17,300,1500,300,300
8,17,300,1500,300,300
9,17,300,1500,300,300
10,17,315,1500,315,300
11,17,300,1500,300,300
12,17,300,1500,300,300
1,18,2900,10000,2900,2000
2,18,2000,10000,2000,2000
3,18,2900,10000,2900,2000
4,18,2000,10000,2900,2000
5,18,2900,10000,2900,2000
6,18,2000,10000,2000,2000
7,18,2900,10000,2900,2000
8,18,2000,10000,2000,2000
9,18,2000,10000,2000,2000
10,18,2900,10000,2900,2000
11,18,2000,10000,2000,2000
12,18,2900,10000,2000,2000
1,19,3600,18000,3600,3675
2,19,3600,18000,3600,3675
3,19,3600,18000,3600,3675
4,19,4600,18000,4600,3675
5,19,4600,18000,4600,3675
6,19,6600,18000,6600,3675
7,19,4600,18000,4600,3675
8,19,5600,18000,5600,3675
9,19,4600,18000,4600,3675
10,19,4600,18000,4600,3675
11,19,3600,18000,3600,3675
12,19,5600,18000,5600,3675
1,20,1200,6000,1900,1200
2,20,1200,6000,1200,1200
3,20,1200,6000,1200,1200
4,20,1200,6000,1200,1200
5,20,1200,6000,1200,1200
6,20,1205,6000,1205,1200
7,20,1205,6000,1205,1200
8,20,1205,6000,1205,1200
9,20,1200,6000,1200,1200
10,20,1200,6000,1200,1200
11,20,1200,6000,1200,1200
12,20,1200,6000,1200,1200
1,21,600,3000,600,600
2,21,600,3000,600,600
3,21,600,3000,600,600
4,21,600,3000,600,600
5,21,600,3000,600,600
6,21,600,3000,600,600
7,21,600,3000,600,600
8,21,600,3000,600,600
9,21,600,3000,600,600
10,21,600,3000,600,600
11,21,600,3000,600,600
12,21,600,3000,600,600
1,22,2400,12000,2400,2400
2,22,2400,12000,2400,2400
3,22,2400,12000,2400,2400
4,22,2400,12000,2400,2400
5,22,2400,12000,2400,2400
6,22,2400,12000,2400,2400
7,22,2400,12000,2400,2400
8,22,2400,12000,2400,2400
9,22,2400,12000,2400,2400
10,22,2400,12000,2400,2400
11,22,2400,12000,2400,2400
12,22,2400,12000,2400,2400
1,23,1200,6000,1200,1200
2,23,1343,6000,1200,1200
3,23,1200,6000,1200,1200
4,23,1200,6000,1200,1200
5,23,1200,6000,1200,1200
6,23,1200,6000,1200,1200
7,23,1200,6000,1200,1200
8,23,1200,6000,1200,1200
9,23,1200,6000,1200,1200
10,23,1200,6000,1200,1200
11,23,1200,6000,1200,1200
12,23,1200,6000,1200,1200
1,24,4000,20000,4000,4000
2,24,4000,20000,4000,4000
3,24,4000,20000,4000,4000
4,24,4000,20000,4000,4000
5,24,4000,20000,4000,4000
6,24,4100,20000,4000,4000
7,24,4100,20000,4000,4000
8,24,4000,20000,4000,4000
9,24,4000,20000,4000,4000
10,24,4000,20000,4000,4000
11,24,4000,20000,4000,4000
12,24,5200,20000,4000,4000
1,25,2400,6000,2400,1200
2,25,1200,6000,1200,1200
3,25,1200,6000,1200,1200
4,25,1200,6000,1200,1200
5,25,1200,6000,1200,1200
6,25,1200,6000,1200,1200
7,25,1200,6000,1200,1200
8,25,1900,6000,1200,1200
9,25,2400,6000,2400,1200
10,25,2400,6000,2400,1200
11,25,1200,6000,1200,1200
12,25,1200,6000,1200,1200
1,26,3300,12000,2400,2400
2,26,3300,12000,2400,2400
3,26,3300,12000,2400,2400
4,26,3300,12000,2400,2400
5,26,2400,12000,2400,2400
6,26,2400,12000,2400,2400
7,26,2400,12000,2400,2400
8,26,2400,12000,2400,2400
9,26,2400,12000,2400,2400
10,26,3300,12000,2400,2400
11,26,3300,12000,2400,2400
12,26,2400,12000,2400,2400
1,27,3600,12000,3600,2400
2,27,3600,12000,3600,2400
3,27,3600,12000,3600,2400
4,27,3600,12000,3600,2400
5,27,3600,12000,3600,2400
6,27,3600,12000,3600,2400
7,27,3600,12000,3600,2400
8,27,3600,12000,3600,2400
9,27,3600,12000,4800,2400
10,27,3600,12000,2400,2400
11,27,2400,12000,2400,2400
12,27,3600,12000,3600,2400
1,28,5000,25000,5000,5000
2,28,6000,25000,6000,5000
3,28,5000,25000,5000,5000
4,28,5010,25000,5010,5000
5,28,8400,25000,8400,5000
6,28,7410,25000,7410,5000
7,28,6000,25000,6000,5000
8,28,7410,25000,7410,5000
9,28,5010,25000,5010,5000
10,28,8400,25000,8400,5000
11,28,6000,25000,6000,5000
12,28,7400,25000,5000,5000
1,29,2100,10500,2100,2100
2,29,2100,10500,3100,2100
3,29,2100,10500,2100,2100
4,29,2100,10500,2100,2100
5,29,2100,10500,3100,2100
6,29,2100,10500,2100,2100
7,29,2100,10500,3100,2100
8,29,2100,10500,2100,2100
9,29,2100,10500,2100,2100
10,29,2100,10500,3100,2100
11,29,2100,10500,2100,2100
12,29,2100,10500,2100,2100
1,30,8000,30000,8000,8000
2,30,8000,30000,8000,8000
